Code,Description,Rate
A00-A09,Intestinal infectious diseases,0.008303192
A15-A19,Tuberculosis,0.000134089
A20-A28,Certain zoonotic bacterial diseases,9.76E-06
A30-A49,Other bacterial diseases,0.007270179
A50-A64,Infections with a predominantly sexual mode of transmission,0.000141162
A65-A69,Other spirochaetal diseases,2.55E-05
A70-A74,Other diseases caused by chlamydiae,3.48E-06
A75-A79,Rickettsioses,1.65E-06
A80-A89,Viral infections of the central nervous system,0.000182809
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,1.33E-05
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,0.000966853
B15-B19,Viral hepatitis,0.000152138
B20-B24,Human immunodeficiency virus [HIV] disease,9.53E-05
B25-B34,Other viral diseases,0.005174152
B35-B49,Mycoses,0.000515013
B50-B64,Protozoal diseases,0.000131528
B65-B83,Helminthiases,4.04E-05
B85-B89,"Pediculosis, acariasis and other infestations",1.83E-05
B95-B98,"Bacterial, viral and other infectious agents",9.76E-07
B99-B99,Other infectious and parasitic diseases,0.000549343
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,0.001687542
C15-C26,Malignant neoplasm of digestive organs,0.018016358
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,0.00681529
C40-C41,Malignant neoplasm of bone and articular cartilage,0.000459706
C43-C44,Malignant neoplasms of skin,0.00944633
C45-C49,Malignant neoplasms of mesothelial and soft tissue,0.001440035
C50-C50,Malignant neoplasm of breast,0.015637032
C51-C58,Malignant neoplasms of female genital organs,0.004457732
C60-C63,Malignant neoplasms of male genital organs,0.005413609
C64-C68,Malignant neoplasms of urinary tract,0.005715019
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",0.001337716
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,0.000691298
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",0.010997649
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",0.024882869
C97-C97,Malignant neoplasms of independent (primary) multiple sites,0.001705042
D00-D09,In situ neoplasms,0.002021574
D10-D36,Benign neoplasms,0.01952481
D37-D48,Neoplasms of uncertain or unknown behaviour,0.006485282
D50-D53,Nutritional anaemias,0.010850633
D55-D59,Haemolytic anaemias,0.003368254
D60-D64,Aplastic and other anaemias,0.006620712
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",0.001776812
D70-D77,Other diseases of blood and blood-forming organs,0.001474549
D80-D89,Certain disorders involving the immune mechanism,0.001536135
E00-E07,Disorders of thyroid gland,0.001015452
E10-E14,Diabetes Mellitus,0.003768142
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,0.000825508
E20-E35,Disorders of other endocrine glands,0.001940597
E40-E46,Malnutrition,4.78E-05
E50-E64,Other nutritional deficiencies,0.000701176
E65-E68,Obesity and other hyperalimentation,0.000546965
