"Year","Revenue","Expenditure","Category"
2019,39780,NA,"Council Tax"
2020,30506,NA,"Council Tax"
2021,38616,NA,"Council Tax"
2022,30986,NA,"Council Tax"
2023,38430,NA,"Council Tax"
2024,34321,NA,"Council Tax"
2025,39701,NA,"Council Tax"
2026,35963,NA,"Council Tax"
2019,18376,NA,"Business rates"
2020,17990,NA,"Business rates"
2021,19488,NA,"Business rates"
2022,15179,NA,"Business rates"
2023,16552,NA,"Business rates"
2024,15185,NA,"Business rates"
2025,16339,NA,"Business rates"
2026,17704,NA,"Business rates"
2019,12221,NA,"Government grants"
2020,14883,NA,"Government grants"
2021,12269,NA,"Government grants"
2022,11944,NA,"Government grants"
2023,14052,NA,"Government grants"
2024,14087,NA,"Government grants"
2025,13477,NA,"Government grants"
2026,13077,NA,"Government grants"
2019,3929,NA,"Parking Fees/Fines"
2020,3381,NA,"Parking Fees/Fines"
2021,4296,NA,"Parking Fees/Fines"
2022,3013,NA,"Parking Fees/Fines"
2023,3891,NA,"Parking Fees/Fines"
2024,4419,NA,"Parking Fees/Fines"
2025,3972,NA,"Parking Fees/Fines"
2026,3952,NA,"Parking Fees/Fines"
2019,4431,NA,"Rental Income"
2020,4429,NA,"Rental Income"
2021,4731,NA,"Rental Income"
2022,4156,NA,"Rental Income"
2023,4889,NA,"Rental Income"
2024,4426,NA,"Rental Income"
2025,4476,NA,"Rental Income"
2026,4991,NA,"Rental Income"
2019,2070,NA,"Investment Income"
2020,2671,NA,"Investment Income"
2021,2027,NA,"Investment Income"
2022,3922,NA,"Investment Income"
2023,2716,NA,"Investment Income"
2024,2035,NA,"Investment Income"
2025,2895,NA,"Investment Income"
2026,2687,NA,"Investment Income"
2019,6097,NA,"License/Permit Fees"
2020,6075,NA,"License/Permit Fees"
2021,7920,NA,"License/Permit Fees"
2022,6821,NA,"License/Permit Fees"
2023,6211,NA,"License/Permit Fees"
2024,6054,NA,"License/Permit Fees"
2025,7666,NA,"License/Permit Fees"
2026,7661,NA,"License/Permit Fees"
2019,160,NA,"Other Income"
2020,100,NA,"Other Income"
2021,191,NA,"Other Income"
2022,201,NA,"Other Income"
2023,194,NA,"Other Income"
2024,223,NA,"Other Income"
2025,204,NA,"Other Income"
2026,239,NA,"Other Income"
2019,NA,29360,"Public Safety Expenditures"
2020,NA,26440,"Public Safety Expenditures"
2021,NA,28803,"Public Safety Expenditures"
2022,NA,26202,"Public Safety Expenditures"
2023,NA,28647,"Public Safety Expenditures"
2024,NA,27441,"Public Safety Expenditures"
2025,NA,26730,"Public Safety Expenditures"
2026,NA,29927,"Public Safety Expenditures"
2019,NA,15730,"Education Expenditures"
2020,NA,17733,"Education Expenditures"
2021,NA,19570,"Education Expenditures"
2022,NA,18287,"Education Expenditures"
2023,NA,16912,"Education Expenditures"
2024,NA,18292,"Education Expenditures"
2025,NA,19264,"Education Expenditures"
2026,NA,19606,"Education Expenditures"
2019,NA,10948,"Transportation/Infrastructure Expenditures"
2020,NA,11586,"Transportation/Infrastructure Expenditures"
2021,NA,12267,"Transportation/Infrastructure Expenditures"
2022,NA,10305,"Transportation/Infrastructure Expenditures"
2023,NA,14264,"Transportation/Infrastructure Expenditures"
2024,NA,14503,"Transportation/Infrastructure Expenditures"
2025,NA,14573,"Transportation/Infrastructure Expenditures"
2026,NA,14628,"Transportation/Infrastructure Expenditures"
2019,NA,14199,"Social Services Expenditures"
2020,NA,13497,"Social Services Expenditures"
2021,NA,12537,"Social Services Expenditures"
2022,NA,12094,"Social Services Expenditures"
2023,NA,12944,"Social Services Expenditures"
2024,NA,12812,"Social Services Expenditures"
2025,NA,13133,"Social Services Expenditures"
2026,NA,13240,"Social Services Expenditures"
2019,NA,3129,"Parks/Recreation Expenditures"
2020,NA,4081,"Parks/Recreation Expenditures"
2021,NA,3560,"Parks/Recreation Expenditures"
2022,NA,4418,"Parks/Recreation Expenditures"
2023,NA,4063,"Parks/Recreation Expenditures"
2024,NA,3621,"Parks/Recreation Expenditures"
2025,NA,3253,"Parks/Recreation Expenditures"
2026,NA,4899,"Parks/Recreation Expenditures"
2019,NA,7409,"Public Works Expenditures"
2020,NA,6813,"Public Works Expenditures"
2021,NA,8145,"Public Works Expenditures"
2022,NA,8862,"Public Works Expenditures"
2023,NA,6981,"Public Works Expenditures"
2024,NA,7208,"Public Works Expenditures"
2025,NA,7966,"Public Works Expenditures"
2026,NA,8185,"Public Works Expenditures"
2019,NA,8283,"Administration Expenditures"
2020,NA,7720,"Administration Expenditures"
2021,NA,6572,"Administration Expenditures"
2022,NA,8312,"Administration Expenditures"
2023,NA,6599,"Administration Expenditures"
2024,NA,7452,"Administration Expenditures"
2025,NA,8758,"Administration Expenditures"
2026,NA,6588,"Administration Expenditures"
2019,NA,6451,"Health Services Expenditures"
2020,NA,4573,"Health Services Expenditures"
2021,NA,6081,"Health Services Expenditures"
2022,NA,4324,"Health Services Expenditures"
2023,NA,6409,"Health Services Expenditures"
2024,NA,4378,"Health Services Expenditures"
2025,NA,4326,"Health Services Expenditures"
2026,NA,6582,"Health Services Expenditures"
2019,NA,1945,"Contingency Expenditures"
2020,NA,1522,"Contingency Expenditures"
2021,NA,1859,"Contingency Expenditures"
2022,NA,1962,"Contingency Expenditures"
2023,NA,1914,"Contingency Expenditures"
2024,NA,1064,"Contingency Expenditures"
2025,NA,1567,"Contingency Expenditures"
2026,NA,1868,"Contingency Expenditures"
