"Year","Revenue","Expenditure","Category"
2019,33634,NA,"Council Tax"
2020,33972,NA,"Council Tax"
2021,36882,NA,"Council Tax"
2022,33883,NA,"Council Tax"
2023,32370,NA,"Council Tax"
2024,38797,NA,"Council Tax"
2025,34122,NA,"Council Tax"
2026,35716,NA,"Council Tax"
2019,17760,NA,"Business rates"
2020,17481,NA,"Business rates"
2021,17962,NA,"Business rates"
2022,17498,NA,"Business rates"
2023,18059,NA,"Business rates"
2024,17399,NA,"Business rates"
2025,17459,NA,"Business rates"
2026,16731,NA,"Business rates"
2019,13457,NA,"Government grants"
2020,10807,NA,"Government grants"
2021,11174,NA,"Government grants"
2022,11428,NA,"Government grants"
2023,12773,NA,"Government grants"
2024,11565,NA,"Government grants"
2025,10160,NA,"Government grants"
2026,10217,NA,"Government grants"
2019,4592,NA,"Parking Fees/Fines"
2020,4459,NA,"Parking Fees/Fines"
2021,3531,NA,"Parking Fees/Fines"
2022,4416,NA,"Parking Fees/Fines"
2023,4571,NA,"Parking Fees/Fines"
2024,3775,NA,"Parking Fees/Fines"
2025,4328,NA,"Parking Fees/Fines"
2026,4768,NA,"Parking Fees/Fines"
2019,4259,NA,"Rental Income"
2020,4206,NA,"Rental Income"
2021,4685,NA,"Rental Income"
2022,4170,NA,"Rental Income"
2023,4958,NA,"Rental Income"
2024,4176,NA,"Rental Income"
2025,4356,NA,"Rental Income"
2026,4605,NA,"Rental Income"
2019,3170,NA,"Investment Income"
2020,2403,NA,"Investment Income"
2021,3629,NA,"Investment Income"
2022,3160,NA,"Investment Income"
2023,3343,NA,"Investment Income"
2024,2126,NA,"Investment Income"
2025,3504,NA,"Investment Income"
2026,3124,NA,"Investment Income"
2019,6527,NA,"License/Permit Fees"
2020,7250,NA,"License/Permit Fees"
2021,6784,NA,"License/Permit Fees"
2022,7552,NA,"License/Permit Fees"
2023,7450,NA,"License/Permit Fees"
2024,6260,NA,"License/Permit Fees"
2025,7189,NA,"License/Permit Fees"
2026,6968,NA,"License/Permit Fees"
2019,189,NA,"Other Income"
2020,179,NA,"Other Income"
2021,277,NA,"Other Income"
2022,203,NA,"Other Income"
2023,137,NA,"Other Income"
2024,268,NA,"Other Income"
2025,146,NA,"Other Income"
2026,212,NA,"Other Income"
2019,NA,27134,"Public Safety Expenditures"
2020,NA,28454,"Public Safety Expenditures"
2021,NA,29614,"Public Safety Expenditures"
2022,NA,29649,"Public Safety Expenditures"
2023,NA,29152,"Public Safety Expenditures"
2024,NA,27229,"Public Safety Expenditures"
2025,NA,25501,"Public Safety Expenditures"
2026,NA,29296,"Public Safety Expenditures"
2019,NA,19544,"Education Expenditures"
2020,NA,15113,"Education Expenditures"
2021,NA,17258,"Education Expenditures"
2022,NA,15417,"Education Expenditures"
2023,NA,17512,"Education Expenditures"
2024,NA,16162,"Education Expenditures"
2025,NA,15648,"Education Expenditures"
2026,NA,19753,"Education Expenditures"
2019,NA,14205,"Transportation/Infrastructure Expenditures"
2020,NA,12182,"Transportation/Infrastructure Expenditures"
2021,NA,14480,"Transportation/Infrastructure Expenditures"
2022,NA,11734,"Transportation/Infrastructure Expenditures"
2023,NA,12297,"Transportation/Infrastructure Expenditures"
2024,NA,12349,"Transportation/Infrastructure Expenditures"
2025,NA,13082,"Transportation/Infrastructure Expenditures"
2026,NA,13441,"Transportation/Infrastructure Expenditures"
2019,NA,13767,"Social Services Expenditures"
2020,NA,13507,"Social Services Expenditures"
2021,NA,12315,"Social Services Expenditures"
2022,NA,13042,"Social Services Expenditures"
2023,NA,13946,"Social Services Expenditures"
2024,NA,14010,"Social Services Expenditures"
2025,NA,13291,"Social Services Expenditures"
2026,NA,14358,"Social Services Expenditures"
2019,NA,3537,"Parks/Recreation Expenditures"
2020,NA,4227,"Parks/Recreation Expenditures"
2021,NA,3519,"Parks/Recreation Expenditures"
2022,NA,4393,"Parks/Recreation Expenditures"
2023,NA,3434,"Parks/Recreation Expenditures"
2024,NA,4000,"Parks/Recreation Expenditures"
2025,NA,4465,"Parks/Recreation Expenditures"
2026,NA,3620,"Parks/Recreation Expenditures"
2019,NA,8254,"Public Works Expenditures"
2020,NA,8473,"Public Works Expenditures"
2021,NA,8564,"Public Works Expenditures"
2022,NA,6476,"Public Works Expenditures"
2023,NA,6145,"Public Works Expenditures"
2024,NA,7461,"Public Works Expenditures"
2025,NA,8900,"Public Works Expenditures"
2026,NA,6224,"Public Works Expenditures"
2019,NA,7595,"Administration Expenditures"
2020,NA,7631,"Administration Expenditures"
2021,NA,7482,"Administration Expenditures"
2022,NA,6649,"Administration Expenditures"
2023,NA,6580,"Administration Expenditures"
2024,NA,6966,"Administration Expenditures"
2025,NA,6518,"Administration Expenditures"
2026,NA,8352,"Administration Expenditures"
2019,NA,5108,"Health Services Expenditures"
2020,NA,6633,"Health Services Expenditures"
2021,NA,4031,"Health Services Expenditures"
2022,NA,5998,"Health Services Expenditures"
2023,NA,5278,"Health Services Expenditures"
2024,NA,5425,"Health Services Expenditures"
2025,NA,6550,"Health Services Expenditures"
2026,NA,4656,"Health Services Expenditures"
2019,NA,1160,"Contingency Expenditures"
2020,NA,1746,"Contingency Expenditures"
2021,NA,1541,"Contingency Expenditures"
2022,NA,1620,"Contingency Expenditures"
2023,NA,1235,"Contingency Expenditures"
2024,NA,1498,"Contingency Expenditures"
2025,NA,1168,"Contingency Expenditures"
2026,NA,1434,"Contingency Expenditures"
