"Year","Revenue","Expenditure","Category"
2019,37829,NA,"Council Tax"
2020,31887,NA,"Council Tax"
2021,32753,NA,"Council Tax"
2022,32466,NA,"Council Tax"
2023,38185,NA,"Council Tax"
2024,36611,NA,"Council Tax"
2025,35301,NA,"Council Tax"
2026,30168,NA,"Council Tax"
2019,18642,NA,"Business rates"
2020,18209,NA,"Business rates"
2021,17543,NA,"Business rates"
2022,16766,NA,"Business rates"
2023,19160,NA,"Business rates"
2024,17475,NA,"Business rates"
2025,19008,NA,"Business rates"
2026,15471,NA,"Business rates"
2019,14995,NA,"Government grants"
2020,12269,NA,"Government grants"
2021,12264,NA,"Government grants"
2022,14168,NA,"Government grants"
2023,11634,NA,"Government grants"
2024,13935,NA,"Government grants"
2025,11689,NA,"Government grants"
2026,10982,NA,"Government grants"
2019,3973,NA,"Parking Fees/Fines"
2020,3125,NA,"Parking Fees/Fines"
2021,4724,NA,"Parking Fees/Fines"
2022,3852,NA,"Parking Fees/Fines"
2023,4537,NA,"Parking Fees/Fines"
2024,3014,NA,"Parking Fees/Fines"
2025,3928,NA,"Parking Fees/Fines"
2026,3570,NA,"Parking Fees/Fines"
2019,4284,NA,"Rental Income"
2020,4200,NA,"Rental Income"
2021,4927,NA,"Rental Income"
2022,4959,NA,"Rental Income"
2023,4146,NA,"Rental Income"
2024,4007,NA,"Rental Income"
2025,4768,NA,"Rental Income"
2026,4403,NA,"Rental Income"
2019,3324,NA,"Investment Income"
2020,3488,NA,"Investment Income"
2021,3930,NA,"Investment Income"
2022,2146,NA,"Investment Income"
2023,2214,NA,"Investment Income"
2024,3606,NA,"Investment Income"
2025,3958,NA,"Investment Income"
2026,2757,NA,"Investment Income"
2019,6757,NA,"License/Permit Fees"
2020,6883,NA,"License/Permit Fees"
2021,7104,NA,"License/Permit Fees"
2022,7560,NA,"License/Permit Fees"
2023,6609,NA,"License/Permit Fees"
2024,6747,NA,"License/Permit Fees"
2025,7792,NA,"License/Permit Fees"
2026,7528,NA,"License/Permit Fees"
2019,108,NA,"Other Income"
2020,235,NA,"Other Income"
2021,289,NA,"Other Income"
2022,227,NA,"Other Income"
2023,274,NA,"Other Income"
2024,182,NA,"Other Income"
2025,164,NA,"Other Income"
2026,276,NA,"Other Income"
2019,NA,29977,"Public Safety Expenditures"
2020,NA,27641,"Public Safety Expenditures"
2021,NA,26515,"Public Safety Expenditures"
2022,NA,26477,"Public Safety Expenditures"
2023,NA,29707,"Public Safety Expenditures"
2024,NA,25859,"Public Safety Expenditures"
2025,NA,27423,"Public Safety Expenditures"
2026,NA,26712,"Public Safety Expenditures"
2019,NA,19628,"Education Expenditures"
2020,NA,18926,"Education Expenditures"
2021,NA,17652,"Education Expenditures"
2022,NA,18992,"Education Expenditures"
2023,NA,19704,"Education Expenditures"
2024,NA,19105,"Education Expenditures"
2025,NA,17316,"Education Expenditures"
2026,NA,15982,"Education Expenditures"
2019,NA,10268,"Transportation/Infrastructure Expenditures"
2020,NA,12849,"Transportation/Infrastructure Expenditures"
2021,NA,10806,"Transportation/Infrastructure Expenditures"
2022,NA,11165,"Transportation/Infrastructure Expenditures"
2023,NA,14681,"Transportation/Infrastructure Expenditures"
2024,NA,14437,"Transportation/Infrastructure Expenditures"
2025,NA,14526,"Transportation/Infrastructure Expenditures"
2026,NA,11481,"Transportation/Infrastructure Expenditures"
2019,NA,13323,"Social Services Expenditures"
2020,NA,12445,"Social Services Expenditures"
2021,NA,14190,"Social Services Expenditures"
2022,NA,12821,"Social Services Expenditures"
2023,NA,12370,"Social Services Expenditures"
2024,NA,12496,"Social Services Expenditures"
2025,NA,14982,"Social Services Expenditures"
2026,NA,14529,"Social Services Expenditures"
2019,NA,4898,"Parks/Recreation Expenditures"
2020,NA,3041,"Parks/Recreation Expenditures"
2021,NA,4075,"Parks/Recreation Expenditures"
2022,NA,3327,"Parks/Recreation Expenditures"
2023,NA,4071,"Parks/Recreation Expenditures"
2024,NA,3274,"Parks/Recreation Expenditures"
2025,NA,4178,"Parks/Recreation Expenditures"
2026,NA,4705,"Parks/Recreation Expenditures"
2019,NA,6487,"Public Works Expenditures"
2020,NA,8662,"Public Works Expenditures"
2021,NA,8710,"Public Works Expenditures"
2022,NA,8698,"Public Works Expenditures"
2023,NA,8311,"Public Works Expenditures"
2024,NA,8005,"Public Works Expenditures"
2025,NA,6580,"Public Works Expenditures"
2026,NA,6775,"Public Works Expenditures"
2019,NA,7197,"Administration Expenditures"
2020,NA,8154,"Administration Expenditures"
2021,NA,6128,"Administration Expenditures"
2022,NA,8836,"Administration Expenditures"
2023,NA,8991,"Administration Expenditures"
2024,NA,8136,"Administration Expenditures"
2025,NA,7832,"Administration Expenditures"
2026,NA,7712,"Administration Expenditures"
2019,NA,5452,"Health Services Expenditures"
2020,NA,5805,"Health Services Expenditures"
2021,NA,5253,"Health Services Expenditures"
2022,NA,4930,"Health Services Expenditures"
2023,NA,4914,"Health Services Expenditures"
2024,NA,4403,"Health Services Expenditures"
2025,NA,5136,"Health Services Expenditures"
2026,NA,4311,"Health Services Expenditures"
2019,NA,1107,"Contingency Expenditures"
2020,NA,1134,"Contingency Expenditures"
2021,NA,1898,"Contingency Expenditures"
2022,NA,1318,"Contingency Expenditures"
2023,NA,1401,"Contingency Expenditures"
2024,NA,1637,"Contingency Expenditures"
2025,NA,1050,"Contingency Expenditures"
2026,NA,1940,"Contingency Expenditures"
