"Year","Revenue","Expenditure","Category"
2019,38199,NA,"Council Tax"
2020,36627,NA,"Council Tax"
2021,36628,NA,"Council Tax"
2022,30089,NA,"Council Tax"
2023,30134,NA,"Council Tax"
2024,33669,NA,"Council Tax"
2025,33609,NA,"Council Tax"
2026,38752,NA,"Council Tax"
2019,19950,NA,"Business rates"
2020,16934,NA,"Business rates"
2021,15308,NA,"Business rates"
2022,17224,NA,"Business rates"
2023,15051,NA,"Business rates"
2024,18053,NA,"Business rates"
2025,15573,NA,"Business rates"
2026,19774,NA,"Business rates"
2019,12477,NA,"Government grants"
2020,12155,NA,"Government grants"
2021,13995,NA,"Government grants"
2022,14950,NA,"Government grants"
2023,14487,NA,"Government grants"
2024,11288,NA,"Government grants"
2025,12430,NA,"Government grants"
2026,10018,NA,"Government grants"
2019,4242,NA,"Parking Fees/Fines"
2020,3732,NA,"Parking Fees/Fines"
2021,4931,NA,"Parking Fees/Fines"
2022,4257,NA,"Parking Fees/Fines"
2023,4049,NA,"Parking Fees/Fines"
2024,4181,NA,"Parking Fees/Fines"
2025,4666,NA,"Parking Fees/Fines"
2026,3580,NA,"Parking Fees/Fines"
2019,4235,NA,"Rental Income"
2020,4178,NA,"Rental Income"
2021,4208,NA,"Rental Income"
2022,4543,NA,"Rental Income"
2023,4904,NA,"Rental Income"
2024,4458,NA,"Rental Income"
2025,4053,NA,"Rental Income"
2026,4474,NA,"Rental Income"
2019,2596,NA,"Investment Income"
2020,2577,NA,"Investment Income"
2021,3505,NA,"Investment Income"
2022,3849,NA,"Investment Income"
2023,3921,NA,"Investment Income"
2024,3959,NA,"Investment Income"
2025,2710,NA,"Investment Income"
2026,3614,NA,"Investment Income"
2019,7529,NA,"License/Permit Fees"
2020,7524,NA,"License/Permit Fees"
2021,7677,NA,"License/Permit Fees"
2022,6903,NA,"License/Permit Fees"
2023,6604,NA,"License/Permit Fees"
2024,6197,NA,"License/Permit Fees"
2025,6345,NA,"License/Permit Fees"
2026,7255,NA,"License/Permit Fees"
2019,190,NA,"Other Income"
2020,289,NA,"Other Income"
2021,281,NA,"Other Income"
2022,206,NA,"Other Income"
2023,143,NA,"Other Income"
2024,238,NA,"Other Income"
2025,161,NA,"Other Income"
2026,100,NA,"Other Income"
2019,NA,29582,"Public Safety Expenditures"
2020,NA,27784,"Public Safety Expenditures"
2021,NA,28882,"Public Safety Expenditures"
2022,NA,27225,"Public Safety Expenditures"
2023,NA,27426,"Public Safety Expenditures"
2024,NA,26056,"Public Safety Expenditures"
2025,NA,25286,"Public Safety Expenditures"
2026,NA,25119,"Public Safety Expenditures"
2019,NA,19434,"Education Expenditures"
2020,NA,18441,"Education Expenditures"
2021,NA,17283,"Education Expenditures"
2022,NA,17935,"Education Expenditures"
2023,NA,17069,"Education Expenditures"
2024,NA,15850,"Education Expenditures"
2025,NA,17493,"Education Expenditures"
2026,NA,15176,"Education Expenditures"
2019,NA,11031,"Transportation/Infrastructure Expenditures"
2020,NA,13492,"Transportation/Infrastructure Expenditures"
2021,NA,13706,"Transportation/Infrastructure Expenditures"
2022,NA,12708,"Transportation/Infrastructure Expenditures"
2023,NA,14011,"Transportation/Infrastructure Expenditures"
2024,NA,11479,"Transportation/Infrastructure Expenditures"
2025,NA,10712,"Transportation/Infrastructure Expenditures"
2026,NA,14914,"Transportation/Infrastructure Expenditures"
2019,NA,13884,"Social Services Expenditures"
2020,NA,12799,"Social Services Expenditures"
2021,NA,14048,"Social Services Expenditures"
2022,NA,13710,"Social Services Expenditures"
2023,NA,14946,"Social Services Expenditures"
2024,NA,13549,"Social Services Expenditures"
2025,NA,13114,"Social Services Expenditures"
2026,NA,14671,"Social Services Expenditures"
2019,NA,4072,"Parks/Recreation Expenditures"
2020,NA,3382,"Parks/Recreation Expenditures"
2021,NA,3736,"Parks/Recreation Expenditures"
2022,NA,4370,"Parks/Recreation Expenditures"
2023,NA,3196,"Parks/Recreation Expenditures"
2024,NA,3998,"Parks/Recreation Expenditures"
2025,NA,4150,"Parks/Recreation Expenditures"
2026,NA,3988,"Parks/Recreation Expenditures"
2019,NA,7431,"Public Works Expenditures"
2020,NA,6707,"Public Works Expenditures"
2021,NA,6365,"Public Works Expenditures"
2022,NA,7538,"Public Works Expenditures"
2023,NA,7768,"Public Works Expenditures"
2024,NA,7354,"Public Works Expenditures"
2025,NA,8268,"Public Works Expenditures"
2026,NA,8666,"Public Works Expenditures"
2019,NA,8147,"Administration Expenditures"
2020,NA,6666,"Administration Expenditures"
2021,NA,7086,"Administration Expenditures"
2022,NA,7427,"Administration Expenditures"
2023,NA,8530,"Administration Expenditures"
2024,NA,8231,"Administration Expenditures"
2025,NA,6828,"Administration Expenditures"
2026,NA,6933,"Administration Expenditures"
2019,NA,5611,"Health Services Expenditures"
2020,NA,5527,"Health Services Expenditures"
2021,NA,4583,"Health Services Expenditures"
2022,NA,5458,"Health Services Expenditures"
2023,NA,5203,"Health Services Expenditures"
2024,NA,5705,"Health Services Expenditures"
2025,NA,6798,"Health Services Expenditures"
2026,NA,6639,"Health Services Expenditures"
2019,NA,1958,"Contingency Expenditures"
2020,NA,1883,"Contingency Expenditures"
2021,NA,1049,"Contingency Expenditures"
2022,NA,1409,"Contingency Expenditures"
2023,NA,1195,"Contingency Expenditures"
2024,NA,1563,"Contingency Expenditures"
2025,NA,1246,"Contingency Expenditures"
2026,NA,1703,"Contingency Expenditures"
