"Year","Revenue","Expenditure","Category"
2019,32124,NA,"Council Tax"
2020,39137,NA,"Council Tax"
2021,35084,NA,"Council Tax"
2022,37202,NA,"Council Tax"
2023,33777,NA,"Council Tax"
2024,31502,NA,"Council Tax"
2025,38274,NA,"Council Tax"
2026,35289,NA,"Council Tax"
2019,15136,NA,"Business rates"
2020,18812,NA,"Business rates"
2021,18387,NA,"Business rates"
2022,18228,NA,"Business rates"
2023,19819,NA,"Business rates"
2024,17065,NA,"Business rates"
2025,16066,NA,"Business rates"
2026,17390,NA,"Business rates"
2019,14093,NA,"Government grants"
2020,11069,NA,"Government grants"
2021,13498,NA,"Government grants"
2022,12057,NA,"Government grants"
2023,14514,NA,"Government grants"
2024,13725,NA,"Government grants"
2025,14915,NA,"Government grants"
2026,11674,NA,"Government grants"
2019,4028,NA,"Parking Fees/Fines"
2020,3261,NA,"Parking Fees/Fines"
2021,3943,NA,"Parking Fees/Fines"
2022,3933,NA,"Parking Fees/Fines"
2023,3700,NA,"Parking Fees/Fines"
2024,4770,NA,"Parking Fees/Fines"
2025,4558,NA,"Parking Fees/Fines"
2026,3913,NA,"Parking Fees/Fines"
2019,4662,NA,"Rental Income"
2020,4484,NA,"Rental Income"
2021,4102,NA,"Rental Income"
2022,4286,NA,"Rental Income"
2023,4551,NA,"Rental Income"
2024,4636,NA,"Rental Income"
2025,4904,NA,"Rental Income"
2026,4031,NA,"Rental Income"
2019,2471,NA,"Investment Income"
2020,2610,NA,"Investment Income"
2021,3051,NA,"Investment Income"
2022,3831,NA,"Investment Income"
2023,2256,NA,"Investment Income"
2024,2715,NA,"Investment Income"
2025,3277,NA,"Investment Income"
2026,3390,NA,"Investment Income"
2019,7477,NA,"License/Permit Fees"
2020,7713,NA,"License/Permit Fees"
2021,7865,NA,"License/Permit Fees"
2022,7846,NA,"License/Permit Fees"
2023,6928,NA,"License/Permit Fees"
2024,6889,NA,"License/Permit Fees"
2025,6869,NA,"License/Permit Fees"
2026,6865,NA,"License/Permit Fees"
2019,168,NA,"Other Income"
2020,222,NA,"Other Income"
2021,150,NA,"Other Income"
2022,239,NA,"Other Income"
2023,265,NA,"Other Income"
2024,159,NA,"Other Income"
2025,279,NA,"Other Income"
2026,280,NA,"Other Income"
2019,NA,29402,"Public Safety Expenditures"
2020,NA,29497,"Public Safety Expenditures"
2021,NA,27603,"Public Safety Expenditures"
2022,NA,25896,"Public Safety Expenditures"
2023,NA,25297,"Public Safety Expenditures"
2024,NA,25207,"Public Safety Expenditures"
2025,NA,25147,"Public Safety Expenditures"
2026,NA,28550,"Public Safety Expenditures"
2019,NA,17403,"Education Expenditures"
2020,NA,15856,"Education Expenditures"
2021,NA,18420,"Education Expenditures"
2022,NA,18832,"Education Expenditures"
2023,NA,18121,"Education Expenditures"
2024,NA,18638,"Education Expenditures"
2025,NA,19829,"Education Expenditures"
2026,NA,15931,"Education Expenditures"
2019,NA,12127,"Transportation/Infrastructure Expenditures"
2020,NA,11366,"Transportation/Infrastructure Expenditures"
2021,NA,11566,"Transportation/Infrastructure Expenditures"
2022,NA,13383,"Transportation/Infrastructure Expenditures"
2023,NA,12918,"Transportation/Infrastructure Expenditures"
2024,NA,12781,"Transportation/Infrastructure Expenditures"
2025,NA,11025,"Transportation/Infrastructure Expenditures"
2026,NA,13244,"Transportation/Infrastructure Expenditures"
2019,NA,13843,"Social Services Expenditures"
2020,NA,12532,"Social Services Expenditures"
2021,NA,14759,"Social Services Expenditures"
2022,NA,12909,"Social Services Expenditures"
2023,NA,14210,"Social Services Expenditures"
2024,NA,14805,"Social Services Expenditures"
2025,NA,12371,"Social Services Expenditures"
2026,NA,13655,"Social Services Expenditures"
2019,NA,3638,"Parks/Recreation Expenditures"
2020,NA,3097,"Parks/Recreation Expenditures"
2021,NA,3620,"Parks/Recreation Expenditures"
2022,NA,3338,"Parks/Recreation Expenditures"
2023,NA,4887,"Parks/Recreation Expenditures"
2024,NA,3174,"Parks/Recreation Expenditures"
2025,NA,4930,"Parks/Recreation Expenditures"
2026,NA,4283,"Parks/Recreation Expenditures"
2019,NA,8436,"Public Works Expenditures"
2020,NA,8309,"Public Works Expenditures"
2021,NA,6979,"Public Works Expenditures"
2022,NA,8529,"Public Works Expenditures"
2023,NA,6758,"Public Works Expenditures"
2024,NA,6101,"Public Works Expenditures"
2025,NA,8705,"Public Works Expenditures"
2026,NA,7617,"Public Works Expenditures"
2019,NA,8032,"Administration Expenditures"
2020,NA,6415,"Administration Expenditures"
2021,NA,7015,"Administration Expenditures"
2022,NA,8509,"Administration Expenditures"
2023,NA,7804,"Administration Expenditures"
2024,NA,7343,"Administration Expenditures"
2025,NA,7730,"Administration Expenditures"
2026,NA,7389,"Administration Expenditures"
2019,NA,6003,"Health Services Expenditures"
2020,NA,4156,"Health Services Expenditures"
2021,NA,6419,"Health Services Expenditures"
2022,NA,5934,"Health Services Expenditures"
2023,NA,4998,"Health Services Expenditures"
2024,NA,6252,"Health Services Expenditures"
2025,NA,4680,"Health Services Expenditures"
2026,NA,6805,"Health Services Expenditures"
2019,NA,1171,"Contingency Expenditures"
2020,NA,1765,"Contingency Expenditures"
2021,NA,1747,"Contingency Expenditures"
2022,NA,1098,"Contingency Expenditures"
2023,NA,1021,"Contingency Expenditures"
2024,NA,1038,"Contingency Expenditures"
2025,NA,1587,"Contingency Expenditures"
2026,NA,1338,"Contingency Expenditures"
