"Year","Revenue","Expenditure","Category"
2019,38058,NA,"Council Tax"
2020,37099,NA,"Council Tax"
2021,36517,NA,"Council Tax"
2022,36756,NA,"Council Tax"
2023,37512,NA,"Council Tax"
2024,30505,NA,"Council Tax"
2025,38796,NA,"Council Tax"
2026,36782,NA,"Council Tax"
2019,15791,NA,"Business rates"
2020,19565,NA,"Business rates"
2021,18125,NA,"Business rates"
2022,15215,NA,"Business rates"
2023,17787,NA,"Business rates"
2024,15533,NA,"Business rates"
2025,17851,NA,"Business rates"
2026,16245,NA,"Business rates"
2019,10099,NA,"Government grants"
2020,11157,NA,"Government grants"
2021,14447,NA,"Government grants"
2022,13837,NA,"Government grants"
2023,11504,NA,"Government grants"
2024,12089,NA,"Government grants"
2025,14735,NA,"Government grants"
2026,11419,NA,"Government grants"
2019,4447,NA,"Parking Fees/Fines"
2020,3080,NA,"Parking Fees/Fines"
2021,4919,NA,"Parking Fees/Fines"
2022,3342,NA,"Parking Fees/Fines"
2023,4176,NA,"Parking Fees/Fines"
2024,3644,NA,"Parking Fees/Fines"
2025,4084,NA,"Parking Fees/Fines"
2026,3727,NA,"Parking Fees/Fines"
2019,4833,NA,"Rental Income"
2020,4816,NA,"Rental Income"
2021,4195,NA,"Rental Income"
2022,4708,NA,"Rental Income"
2023,4561,NA,"Rental Income"
2024,4552,NA,"Rental Income"
2025,4388,NA,"Rental Income"
2026,4422,NA,"Rental Income"
2019,3600,NA,"Investment Income"
2020,3558,NA,"Investment Income"
2021,2391,NA,"Investment Income"
2022,3528,NA,"Investment Income"
2023,2527,NA,"Investment Income"
2024,2295,NA,"Investment Income"
2025,3521,NA,"Investment Income"
2026,3987,NA,"Investment Income"
2019,6094,NA,"License/Permit Fees"
2020,7958,NA,"License/Permit Fees"
2021,7787,NA,"License/Permit Fees"
2022,7954,NA,"License/Permit Fees"
2023,6147,NA,"License/Permit Fees"
2024,7670,NA,"License/Permit Fees"
2025,6689,NA,"License/Permit Fees"
2026,6263,NA,"License/Permit Fees"
2019,268,NA,"Other Income"
2020,238,NA,"Other Income"
2021,180,NA,"Other Income"
2022,202,NA,"Other Income"
2023,103,NA,"Other Income"
2024,243,NA,"Other Income"
2025,131,NA,"Other Income"
2026,129,NA,"Other Income"
2019,NA,26193,"Public Safety Expenditures"
2020,NA,29015,"Public Safety Expenditures"
2021,NA,26990,"Public Safety Expenditures"
2022,NA,26067,"Public Safety Expenditures"
2023,NA,25826,"Public Safety Expenditures"
2024,NA,25973,"Public Safety Expenditures"
2025,NA,25604,"Public Safety Expenditures"
2026,NA,27894,"Public Safety Expenditures"
2019,NA,18739,"Education Expenditures"
2020,NA,17790,"Education Expenditures"
2021,NA,16919,"Education Expenditures"
2022,NA,17335,"Education Expenditures"
2023,NA,19176,"Education Expenditures"
2024,NA,15755,"Education Expenditures"
2025,NA,15547,"Education Expenditures"
2026,NA,19888,"Education Expenditures"
2019,NA,14430,"Transportation/Infrastructure Expenditures"
2020,NA,14925,"Transportation/Infrastructure Expenditures"
2021,NA,10556,"Transportation/Infrastructure Expenditures"
2022,NA,12471,"Transportation/Infrastructure Expenditures"
2023,NA,12877,"Transportation/Infrastructure Expenditures"
2024,NA,13405,"Transportation/Infrastructure Expenditures"
2025,NA,11736,"Transportation/Infrastructure Expenditures"
2026,NA,13159,"Transportation/Infrastructure Expenditures"
2019,NA,13120,"Social Services Expenditures"
2020,NA,14464,"Social Services Expenditures"
2021,NA,14458,"Social Services Expenditures"
2022,NA,12814,"Social Services Expenditures"
2023,NA,13799,"Social Services Expenditures"
2024,NA,12621,"Social Services Expenditures"
2025,NA,12762,"Social Services Expenditures"
2026,NA,12398,"Social Services Expenditures"
2019,NA,4809,"Parks/Recreation Expenditures"
2020,NA,3941,"Parks/Recreation Expenditures"
2021,NA,3936,"Parks/Recreation Expenditures"
2022,NA,4184,"Parks/Recreation Expenditures"
2023,NA,3674,"Parks/Recreation Expenditures"
2024,NA,3051,"Parks/Recreation Expenditures"
2025,NA,3514,"Parks/Recreation Expenditures"
2026,NA,3428,"Parks/Recreation Expenditures"
2019,NA,8805,"Public Works Expenditures"
2020,NA,7301,"Public Works Expenditures"
2021,NA,7453,"Public Works Expenditures"
2022,NA,8563,"Public Works Expenditures"
2023,NA,8853,"Public Works Expenditures"
2024,NA,8866,"Public Works Expenditures"
2025,NA,7806,"Public Works Expenditures"
2026,NA,8014,"Public Works Expenditures"
2019,NA,6938,"Administration Expenditures"
2020,NA,8161,"Administration Expenditures"
2021,NA,6818,"Administration Expenditures"
2022,NA,8099,"Administration Expenditures"
2023,NA,6868,"Administration Expenditures"
2024,NA,6763,"Administration Expenditures"
2025,NA,7176,"Administration Expenditures"
2026,NA,8435,"Administration Expenditures"
2019,NA,5847,"Health Services Expenditures"
2020,NA,6359,"Health Services Expenditures"
2021,NA,6335,"Health Services Expenditures"
2022,NA,4428,"Health Services Expenditures"
2023,NA,4396,"Health Services Expenditures"
2024,NA,4576,"Health Services Expenditures"
2025,NA,6271,"Health Services Expenditures"
2026,NA,4376,"Health Services Expenditures"
2019,NA,1743,"Contingency Expenditures"
2020,NA,1678,"Contingency Expenditures"
2021,NA,1638,"Contingency Expenditures"
2022,NA,1097,"Contingency Expenditures"
2023,NA,1751,"Contingency Expenditures"
2024,NA,1037,"Contingency Expenditures"
2025,NA,1647,"Contingency Expenditures"
2026,NA,1049,"Contingency Expenditures"
