"Year","Revenue","Expenditure","Category"
2019,37374,NA,"Council Tax"
2020,32709,NA,"Council Tax"
2021,39921,NA,"Council Tax"
2022,35395,NA,"Council Tax"
2023,37839,NA,"Council Tax"
2024,32387,NA,"Council Tax"
2025,35584,NA,"Council Tax"
2026,39391,NA,"Council Tax"
2019,16648,NA,"Business rates"
2020,15010,NA,"Business rates"
2021,16423,NA,"Business rates"
2022,16543,NA,"Business rates"
2023,18024,NA,"Business rates"
2024,17889,NA,"Business rates"
2025,16042,NA,"Business rates"
2026,17803,NA,"Business rates"
2019,10444,NA,"Government grants"
2020,14373,NA,"Government grants"
2021,14857,NA,"Government grants"
2022,12291,NA,"Government grants"
2023,10115,NA,"Government grants"
2024,11210,NA,"Government grants"
2025,14499,NA,"Government grants"
2026,14753,NA,"Government grants"
2019,3364,NA,"Parking Fees/Fines"
2020,3544,NA,"Parking Fees/Fines"
2021,3341,NA,"Parking Fees/Fines"
2022,4499,NA,"Parking Fees/Fines"
2023,4862,NA,"Parking Fees/Fines"
2024,3520,NA,"Parking Fees/Fines"
2025,4592,NA,"Parking Fees/Fines"
2026,3721,NA,"Parking Fees/Fines"
2019,4373,NA,"Rental Income"
2020,4820,NA,"Rental Income"
2021,4782,NA,"Rental Income"
2022,4437,NA,"Rental Income"
2023,4462,NA,"Rental Income"
2024,4492,NA,"Rental Income"
2025,4074,NA,"Rental Income"
2026,4750,NA,"Rental Income"
2019,2007,NA,"Investment Income"
2020,2060,NA,"Investment Income"
2021,3507,NA,"Investment Income"
2022,3026,NA,"Investment Income"
2023,2168,NA,"Investment Income"
2024,2487,NA,"Investment Income"
2025,3025,NA,"Investment Income"
2026,2591,NA,"Investment Income"
2019,7335,NA,"License/Permit Fees"
2020,6508,NA,"License/Permit Fees"
2021,6291,NA,"License/Permit Fees"
2022,7835,NA,"License/Permit Fees"
2023,6236,NA,"License/Permit Fees"
2024,6621,NA,"License/Permit Fees"
2025,7320,NA,"License/Permit Fees"
2026,6041,NA,"License/Permit Fees"
2019,228,NA,"Other Income"
2020,229,NA,"Other Income"
2021,256,NA,"Other Income"
2022,177,NA,"Other Income"
2023,281,NA,"Other Income"
2024,176,NA,"Other Income"
2025,104,NA,"Other Income"
2026,117,NA,"Other Income"
2019,NA,26476,"Public Safety Expenditures"
2020,NA,25419,"Public Safety Expenditures"
2021,NA,27439,"Public Safety Expenditures"
2022,NA,28947,"Public Safety Expenditures"
2023,NA,27572,"Public Safety Expenditures"
2024,NA,28962,"Public Safety Expenditures"
2025,NA,26880,"Public Safety Expenditures"
2026,NA,29281,"Public Safety Expenditures"
2019,NA,18016,"Education Expenditures"
2020,NA,17911,"Education Expenditures"
2021,NA,17070,"Education Expenditures"
2022,NA,17344,"Education Expenditures"
2023,NA,16883,"Education Expenditures"
2024,NA,17781,"Education Expenditures"
2025,NA,18334,"Education Expenditures"
2026,NA,17652,"Education Expenditures"
2019,NA,11866,"Transportation/Infrastructure Expenditures"
2020,NA,13712,"Transportation/Infrastructure Expenditures"
2021,NA,12484,"Transportation/Infrastructure Expenditures"
2022,NA,13117,"Transportation/Infrastructure Expenditures"
2023,NA,14564,"Transportation/Infrastructure Expenditures"
2024,NA,13880,"Transportation/Infrastructure Expenditures"
2025,NA,11575,"Transportation/Infrastructure Expenditures"
2026,NA,11450,"Transportation/Infrastructure Expenditures"
2019,NA,12166,"Social Services Expenditures"
2020,NA,12430,"Social Services Expenditures"
2021,NA,14080,"Social Services Expenditures"
2022,NA,14030,"Social Services Expenditures"
2023,NA,14122,"Social Services Expenditures"
2024,NA,12978,"Social Services Expenditures"
2025,NA,12033,"Social Services Expenditures"
2026,NA,14631,"Social Services Expenditures"
2019,NA,4645,"Parks/Recreation Expenditures"
2020,NA,3808,"Parks/Recreation Expenditures"
2021,NA,3013,"Parks/Recreation Expenditures"
2022,NA,4715,"Parks/Recreation Expenditures"
2023,NA,3041,"Parks/Recreation Expenditures"
2024,NA,3346,"Parks/Recreation Expenditures"
2025,NA,3556,"Parks/Recreation Expenditures"
2026,NA,3914,"Parks/Recreation Expenditures"
2019,NA,7964,"Public Works Expenditures"
2020,NA,6360,"Public Works Expenditures"
2021,NA,6149,"Public Works Expenditures"
2022,NA,6431,"Public Works Expenditures"
2023,NA,7385,"Public Works Expenditures"
2024,NA,7998,"Public Works Expenditures"
2025,NA,7060,"Public Works Expenditures"
2026,NA,8687,"Public Works Expenditures"
2019,NA,7073,"Administration Expenditures"
2020,NA,7345,"Administration Expenditures"
2021,NA,6684,"Administration Expenditures"
2022,NA,8711,"Administration Expenditures"
2023,NA,8116,"Administration Expenditures"
2024,NA,8287,"Administration Expenditures"
2025,NA,7671,"Administration Expenditures"
2026,NA,7133,"Administration Expenditures"
2019,NA,4027,"Health Services Expenditures"
2020,NA,5635,"Health Services Expenditures"
2021,NA,5978,"Health Services Expenditures"
2022,NA,6820,"Health Services Expenditures"
2023,NA,4573,"Health Services Expenditures"
2024,NA,4552,"Health Services Expenditures"
2025,NA,6871,"Health Services Expenditures"
2026,NA,4902,"Health Services Expenditures"
2019,NA,1894,"Contingency Expenditures"
2020,NA,1846,"Contingency Expenditures"
2021,NA,1925,"Contingency Expenditures"
2022,NA,1882,"Contingency Expenditures"
2023,NA,1592,"Contingency Expenditures"
2024,NA,1186,"Contingency Expenditures"
2025,NA,1775,"Contingency Expenditures"
2026,NA,1976,"Contingency Expenditures"
