"Year","Category","Count"
2020,"Age: 0-14",16191
2020,"Age: 15-24",41923
2020,"Age: 25-44",59967
2020,"Age: 45-64",49030
2020,"Age: 65-74",19065
2020,"Age: 75+",9884
2020,"Gender: Male",94957
2020,"Gender: Female",97184
2020,"Gender: Other",3919
2020,"Employment: Employed",136915
2020,"Employment: Unemployed",17743
2020,"Employment: Self-Employed",41402
2021,"Age: 0-14",16416
2021,"Age: 15-24",45807
2021,"Age: 25-44",59788
2021,"Age: 45-64",49675
2021,"Age: 65-74",18880
2021,"Age: 75+",10392
2021,"Gender: Male",96204
2021,"Gender: Female",100551
2021,"Gender: Other",4203
2021,"Employment: Employed",138626
2021,"Employment: Unemployed",17624
2021,"Employment: Self-Employed",44708
2022,"Age: 0-14",15848
2022,"Age: 15-24",46851
2022,"Age: 25-44",61135
2022,"Age: 45-64",48988
2022,"Age: 65-74",20451
2022,"Age: 75+",10175
2022,"Gender: Male",97918
2022,"Gender: Female",101288
2022,"Gender: Other",4242
2022,"Employment: Employed",140291
2022,"Employment: Unemployed",18387
2022,"Employment: Self-Employed",44770
2023,"Age: 0-14",17069
2023,"Age: 15-24",45414
2023,"Age: 25-44",60009
2023,"Age: 45-64",52985
2023,"Age: 65-74",20594
2023,"Age: 75+",10238
2023,"Gender: Male",96538
2023,"Gender: Female",105489
2023,"Gender: Other",4282
2023,"Employment: Employed",141990
2023,"Employment: Unemployed",19578
2023,"Employment: Self-Employed",44741
2024,"Age: 0-14",16975
2024,"Age: 15-24",44173
2024,"Age: 25-44",63234
2024,"Age: 45-64",53245
2024,"Age: 65-74",21373
2024,"Age: 75+",10753
2024,"Gender: Male",101246
2024,"Gender: Female",104368
2024,"Gender: Other",4139
2024,"Employment: Employed",145509
2024,"Employment: Unemployed",18216
2024,"Employment: Self-Employed",46028
