"Year","Category","Count"
2020,"Age: 0-14",12937
2020,"Age: 15-24",38296
2020,"Age: 25-44",52238
2020,"Age: 45-64",41306
2020,"Age: 65-74",17133
2020,"Age: 75+",8847
2020,"Gender: Male",79965
2020,"Gender: Female",87486
2020,"Gender: Other",3306
2020,"Employment: Employed",118965
2020,"Employment: Unemployed",14941
2020,"Employment: Self-Employed",36851
2021,"Age: 0-14",13770
2021,"Age: 15-24",36994
2021,"Age: 25-44",50580
2021,"Age: 45-64",45573
2021,"Age: 65-74",17425
2021,"Age: 75+",8511
2021,"Gender: Male",82331
2021,"Gender: Female",87135
2021,"Gender: Other",3387
2021,"Employment: Employed",119840
2021,"Employment: Unemployed",15523
2021,"Employment: Self-Employed",37490
2022,"Age: 0-14",14329
2022,"Age: 15-24",38214
2022,"Age: 25-44",51879
2022,"Age: 45-64",42961
2022,"Age: 65-74",17665
2022,"Age: 75+",9394
2022,"Gender: Male",85731
2022,"Gender: Female",85264
2022,"Gender: Other",3447
2022,"Employment: Employed",119344
2022,"Employment: Unemployed",15538
2022,"Employment: Self-Employed",39560
2023,"Age: 0-14",14191
2023,"Age: 15-24",38496
2023,"Age: 25-44",52546
2023,"Age: 45-64",45022
2023,"Age: 65-74",18356
2023,"Age: 75+",8991
2023,"Gender: Male",84307
2023,"Gender: Female",89541
2023,"Gender: Other",3754
2023,"Employment: Employed",123654
2023,"Employment: Unemployed",15443
2023,"Employment: Self-Employed",38505
2024,"Age: 0-14",15221
2024,"Age: 15-24",39167
2024,"Age: 25-44",53772
2024,"Age: 45-64",44316
2024,"Age: 65-74",18181
2024,"Age: 75+",8852
2024,"Gender: Male",86717
2024,"Gender: Female",89383
2024,"Gender: Other",3409
2024,"Employment: Employed",123352
2024,"Employment: Unemployed",15808
2024,"Employment: Self-Employed",40349
