"Year","Category","Count"
2020,"Age: 0-14",13990
2020,"Age: 15-24",39406
2020,"Age: 25-44",54296
2020,"Age: 45-64",47368
2020,"Age: 65-74",17878
2020,"Age: 75+",8956
2020,"Gender: Male",85254
2020,"Gender: Female",92976
2020,"Gender: Other",3664
2020,"Employment: Employed",123549
2020,"Employment: Unemployed",16710
2020,"Employment: Self-Employed",41635
2021,"Age: 0-14",15417
2021,"Age: 15-24",43202
2021,"Age: 25-44",55117
2021,"Age: 45-64",45874
2021,"Age: 65-74",17953
2021,"Age: 75+",9037
2021,"Gender: Male",90290
2021,"Gender: Female",92557
2021,"Gender: Other",3753
2021,"Employment: Employed",127349
2021,"Employment: Unemployed",16736
2021,"Employment: Self-Employed",42515
2022,"Age: 0-14",15268
2022,"Age: 15-24",40599
2022,"Age: 25-44",56674
2022,"Age: 45-64",50105
2022,"Age: 65-74",18952
2022,"Age: 75+",9221
2022,"Gender: Male",88099
2022,"Gender: Female",98715
2022,"Gender: Other",4005
2022,"Employment: Employed",129988
2022,"Employment: Unemployed",17646
2022,"Employment: Self-Employed",43185
2023,"Age: 0-14",16147
2023,"Age: 15-24",43167
2023,"Age: 25-44",55411
2023,"Age: 45-64",50366
2023,"Age: 65-74",19464
2023,"Age: 75+",9829
2023,"Gender: Male",93438
2023,"Gender: Female",97243
2023,"Gender: Other",3703
2023,"Employment: Employed",134949
2023,"Employment: Unemployed",17473
2023,"Employment: Self-Employed",41962
2024,"Age: 0-14",16242
2024,"Age: 15-24",44540
2024,"Age: 25-44",57847
2024,"Age: 45-64",49772
2024,"Age: 65-74",20478
2024,"Age: 75+",9553
2024,"Gender: Male",95345
2024,"Gender: Female",98906
2024,"Gender: Other",4181
2024,"Employment: Employed",135876
2024,"Employment: Unemployed",18326
2024,"Employment: Self-Employed",44230
