"Year","Category","Count"
2020,"Age: 0-14",13689
2020,"Age: 15-24",39203
2020,"Age: 25-44",51124
2020,"Age: 45-64",45235
2020,"Age: 65-74",18222
2020,"Age: 75+",8935
2020,"Gender: Male",84051
2020,"Gender: Female",88512
2020,"Gender: Other",3845
2020,"Employment: Employed",119097
2020,"Employment: Unemployed",17052
2020,"Employment: Self-Employed",40259
2021,"Age: 0-14",14137
2021,"Age: 15-24",40109
2021,"Age: 25-44",56049
2021,"Age: 45-64",43392
2021,"Age: 65-74",17412
2021,"Age: 75+",8736
2021,"Gender: Male",85212
2021,"Gender: Female",90979
2021,"Gender: Other",3644
2021,"Employment: Employed",123146
2021,"Employment: Unemployed",15724
2021,"Employment: Self-Employed",40965
2022,"Age: 0-14",15338
2022,"Age: 15-24",39945
2022,"Age: 25-44",53389
2022,"Age: 45-64",47078
2022,"Age: 65-74",18738
2022,"Age: 75+",9733
2022,"Gender: Male",90047
2022,"Gender: Female",90478
2022,"Gender: Other",3696
2022,"Employment: Employed",126476
2022,"Employment: Unemployed",17027
2022,"Employment: Self-Employed",40718
2023,"Age: 0-14",14609
2023,"Age: 15-24",42415
2023,"Age: 25-44",55673
2023,"Age: 45-64",48234
2023,"Age: 65-74",18646
2023,"Age: 75+",9350
2023,"Gender: Male",88728
2023,"Gender: Female",96371
2023,"Gender: Other",3828
2023,"Employment: Employed",130547
2023,"Employment: Unemployed",17278
2023,"Employment: Self-Employed",41102
2024,"Age: 0-14",15884
2024,"Age: 15-24",41507
2024,"Age: 25-44",59784
2024,"Age: 45-64",46822
2024,"Age: 65-74",19705
2024,"Age: 75+",9742
2024,"Gender: Male",94731
2024,"Gender: Female",94812
2024,"Gender: Other",3901
2024,"Employment: Employed",135051
2024,"Employment: Unemployed",17100
2024,"Employment: Self-Employed",41293
