"Year","Category","Count"
2020,"Age: 0-14",13810
2020,"Age: 15-24",36064
2020,"Age: 25-44",50288
2020,"Age: 45-64",44267
2020,"Age: 65-74",16294
2020,"Age: 75+",8604
2020,"Gender: Male",80812
2020,"Gender: Female",85174
2020,"Gender: Other",3341
2020,"Employment: Employed",114266
2020,"Employment: Unemployed",15835
2020,"Employment: Self-Employed",39226
2021,"Age: 0-14",14123
2021,"Age: 15-24",37118
2021,"Age: 25-44",50148
2021,"Age: 45-64",44247
2021,"Age: 65-74",16802
2021,"Age: 75+",8219
2021,"Gender: Male",81593
2021,"Gender: Female",85634
2021,"Gender: Other",3430
2021,"Employment: Employed",119117
2021,"Employment: Unemployed",14979
2021,"Employment: Self-Employed",36561
2022,"Age: 0-14",13905
2022,"Age: 15-24",37244
2022,"Age: 25-44",53691
2022,"Age: 45-64",42745
2022,"Age: 65-74",17830
2022,"Age: 75+",8833
2022,"Gender: Male",82661
2022,"Gender: Female",88111
2022,"Gender: Other",3476
2022,"Employment: Employed",120512
2022,"Employment: Unemployed",14803
2022,"Employment: Self-Employed",38933
2023,"Age: 0-14",14309
2023,"Age: 15-24",37952
2023,"Age: 25-44",55544
2023,"Age: 45-64",43442
2023,"Age: 65-74",17535
2023,"Age: 75+",8745
2023,"Gender: Male",84389
2023,"Gender: Female",89703
2023,"Gender: Other",3435
2023,"Employment: Employed",124979
2023,"Employment: Unemployed",15655
2023,"Employment: Self-Employed",36893
2024,"Age: 0-14",13644
2024,"Age: 15-24",38214
2024,"Age: 25-44",55460
2024,"Age: 45-64",45946
2024,"Age: 65-74",17834
2024,"Age: 75+",8574
2024,"Gender: Male",86858
2024,"Gender: Female",89261
2024,"Gender: Other",3553
2024,"Employment: Employed",123305
2024,"Employment: Unemployed",16724
2024,"Employment: Self-Employed",39643
