"Year","Category","Count"
2020,"Age: 0-14",12561
2020,"Age: 15-24",33672
2020,"Age: 25-44",45137
2020,"Age: 45-64",38625
2020,"Age: 65-74",14928
2020,"Age: 75+",7218
2020,"Gender: Male",73223
2020,"Gender: Female",75797
2020,"Gender: Other",3121
2020,"Employment: Employed",104771
2020,"Employment: Unemployed",13977
2020,"Employment: Self-Employed",33393
2021,"Age: 0-14",11900
2021,"Age: 15-24",35667
2021,"Age: 25-44",46509
2021,"Age: 45-64",37074
2021,"Age: 65-74",16015
2021,"Age: 75+",7670
2021,"Gender: Male",73670
2021,"Gender: Female",77915
2021,"Gender: Other",3250
2021,"Employment: Employed",106914
2021,"Employment: Unemployed",13616
2021,"Employment: Self-Employed",34305
2022,"Age: 0-14",13253
2022,"Age: 15-24",35053
2022,"Age: 25-44",46346
2022,"Age: 45-64",39735
2022,"Age: 65-74",16747
2022,"Age: 75+",8074
2022,"Gender: Male",78015
2022,"Gender: Female",77979
2022,"Gender: Other",3214
2022,"Employment: Employed",109444
2022,"Employment: Unemployed",14353
2022,"Employment: Self-Employed",35411
2023,"Age: 0-14",12878
2023,"Age: 15-24",35104
2023,"Age: 25-44",48605
2023,"Age: 45-64",43156
2023,"Age: 65-74",16195
2023,"Age: 75+",7995
2023,"Gender: Male",76785
2023,"Gender: Female",83860
2023,"Gender: Other",3288
2023,"Employment: Employed",112664
2023,"Employment: Unemployed",14703
2023,"Employment: Self-Employed",36566
2024,"Age: 0-14",13510
2024,"Age: 15-24",36480
2024,"Age: 25-44",49095
2024,"Age: 45-64",42187
2024,"Age: 65-74",16623
2024,"Age: 75+",8715
2024,"Gender: Male",81083
2024,"Gender: Female",82119
2024,"Gender: Other",3408
2024,"Employment: Employed",115524
2024,"Employment: Unemployed",15454
2024,"Employment: Self-Employed",35632
