"Year","Category","Count"
2020,"Age: 0-14",15736
2020,"Age: 15-24",43140
2020,"Age: 25-44",59447
2020,"Age: 45-64",50626
2020,"Age: 65-74",19777
2020,"Age: 75+",10355
2020,"Gender: Male",95266
2020,"Gender: Female",100071
2020,"Gender: Other",3744
2020,"Employment: Employed",134518
2020,"Employment: Unemployed",18732
2020,"Employment: Self-Employed",45831
2021,"Age: 0-14",16254
2021,"Age: 15-24",45098
2021,"Age: 25-44",61807
2021,"Age: 45-64",49149
2021,"Age: 65-74",20048
2021,"Age: 75+",9505
2021,"Gender: Male",95123
2021,"Gender: Female",102605
2021,"Gender: Other",4133
2021,"Employment: Employed",137444
2021,"Employment: Unemployed",19043
2021,"Employment: Self-Employed",45374
2022,"Age: 0-14",16280
2022,"Age: 15-24",45426
2022,"Age: 25-44",61936
2022,"Age: 45-64",51750
2022,"Age: 65-74",19062
2022,"Age: 75+",9894
2022,"Gender: Male",97125
2022,"Gender: Female",103067
2022,"Gender: Other",4156
2022,"Employment: Employed",140228
2022,"Employment: Unemployed",18137
2022,"Employment: Self-Employed",45983
2023,"Age: 0-14",15981
2023,"Age: 15-24",46977
2023,"Age: 25-44",61299
2023,"Age: 45-64",54118
2023,"Age: 65-74",19735
2023,"Age: 75+",10526
2023,"Gender: Male",96844
2023,"Gender: Female",107653
2023,"Gender: Other",4139
2023,"Employment: Employed",143482
2023,"Employment: Unemployed",19254
2023,"Employment: Self-Employed",45900
2024,"Age: 0-14",16162
2024,"Age: 15-24",45514
2024,"Age: 25-44",64565
2024,"Age: 45-64",53862
2024,"Age: 65-74",20901
2024,"Age: 75+",10377
2024,"Gender: Male",98777
2024,"Gender: Female",108540
2024,"Gender: Other",4064
2024,"Employment: Employed",149420
2024,"Employment: Unemployed",18101
2024,"Employment: Self-Employed",43860
