"Year","Category","Count"
2020,"Age: 0-14",13227
2020,"Age: 15-24",33534
2020,"Age: 25-44",49559
2020,"Age: 45-64",40684
2020,"Age: 65-74",15742
2020,"Age: 75+",7980
2020,"Gender: Male",77152
2020,"Gender: Female",80618
2020,"Gender: Other",2956
2020,"Employment: Employed",111145
2020,"Employment: Unemployed",14599
2020,"Employment: Self-Employed",34982
2021,"Age: 0-14",12747
2021,"Age: 15-24",35387
2021,"Age: 25-44",48865
2021,"Age: 45-64",40622
2021,"Age: 65-74",16477
2021,"Age: 75+",7691
2021,"Gender: Male",76569
2021,"Gender: Female",82041
2021,"Gender: Other",3179
2021,"Employment: Employed",112718
2021,"Employment: Unemployed",13730
2021,"Employment: Self-Employed",35341
2022,"Age: 0-14",13574
2022,"Age: 15-24",35425
2022,"Age: 25-44",48208
2022,"Age: 45-64",41070
2022,"Age: 65-74",17233
2022,"Age: 75+",8398
2022,"Gender: Male",79975
2022,"Gender: Female",80676
2022,"Gender: Other",3257
2022,"Employment: Employed",114107
2022,"Employment: Unemployed",14643
2022,"Employment: Self-Employed",35158
2023,"Age: 0-14",12938
2023,"Age: 15-24",37173
2023,"Age: 25-44",51266
2023,"Age: 45-64",40955
2023,"Age: 65-74",16622
2023,"Age: 75+",8616
2023,"Gender: Male",80970
2023,"Gender: Female",83222
2023,"Gender: Other",3378
2023,"Employment: Employed",115933
2023,"Employment: Unemployed",15114
2023,"Employment: Self-Employed",36523
2024,"Age: 0-14",13131
2024,"Age: 15-24",38565
2024,"Age: 25-44",50092
2024,"Age: 45-64",41084
2024,"Age: 65-74",17661
2024,"Age: 75+",8109
2024,"Gender: Male",84336
2024,"Gender: Female",80920
2024,"Gender: Other",3386
2024,"Employment: Employed",116022
2024,"Employment: Unemployed",14853
2024,"Employment: Self-Employed",37767
