"Year","Category","Count"
2020,"Age: 0-14",13565
2020,"Age: 15-24",37322
2020,"Age: 25-44",48751
2020,"Age: 45-64",40277
2020,"Age: 65-74",16731
2020,"Age: 75+",8493
2020,"Gender: Male",79622
2020,"Gender: Female",82083
2020,"Gender: Other",3434
2020,"Employment: Employed",117093
2020,"Employment: Unemployed",14027
2020,"Employment: Self-Employed",34019
2021,"Age: 0-14",12643
2021,"Age: 15-24",37569
2021,"Age: 25-44",50234
2021,"Age: 45-64",40883
2021,"Age: 65-74",16987
2021,"Age: 75+",7992
2021,"Gender: Male",77123
2021,"Gender: Female",85872
2021,"Gender: Other",3313
2021,"Employment: Employed",114901
2021,"Employment: Unemployed",15235
2021,"Employment: Self-Employed",36172
2022,"Age: 0-14",13076
2022,"Age: 15-24",35747
2022,"Age: 25-44",49923
2022,"Age: 45-64",43255
2022,"Age: 65-74",16892
2022,"Age: 75+",8640
2022,"Gender: Male",81333
2022,"Gender: Female",82725
2022,"Gender: Other",3475
2022,"Employment: Employed",116587
2022,"Employment: Unemployed",15602
2022,"Employment: Self-Employed",35344
2023,"Age: 0-14",13201
2023,"Age: 15-24",37908
2023,"Age: 25-44",50529
2023,"Age: 45-64",42843
2023,"Age: 65-74",17616
2023,"Age: 75+",8266
2023,"Gender: Male",82516
2023,"Gender: Female",84619
2023,"Gender: Other",3228
2023,"Employment: Employed",117278
2023,"Employment: Unemployed",15360
2023,"Employment: Self-Employed",37725
2024,"Age: 0-14",12988
2024,"Age: 15-24",38813
2024,"Age: 25-44",52526
2024,"Age: 45-64",42715
2024,"Age: 65-74",17616
2024,"Age: 75+",8275
2024,"Gender: Male",84548
2024,"Gender: Female",84990
2024,"Gender: Other",3395
2024,"Employment: Employed",119668
2024,"Employment: Unemployed",14622
2024,"Employment: Self-Employed",38643
