"Year","Category","Count"
2020,"Age: 0-14",14820
2020,"Age: 15-24",41829
2020,"Age: 25-44",56916
2020,"Age: 45-64",48730
2020,"Age: 65-74",18432
2020,"Age: 75+",9641
2020,"Gender: Male",92839
2020,"Gender: Female",93701
2020,"Gender: Other",3828
2020,"Employment: Employed",131397
2020,"Employment: Unemployed",16661
2020,"Employment: Self-Employed",42310
2021,"Age: 0-14",15802
2021,"Age: 15-24",41112
2021,"Age: 25-44",57124
2021,"Age: 45-64",49027
2021,"Age: 65-74",18746
2021,"Age: 75+",9920
2021,"Gender: Male",94288
2021,"Gender: Female",93447
2021,"Gender: Other",3996
2021,"Employment: Employed",132291
2021,"Employment: Unemployed",17528
2021,"Employment: Self-Employed",41912
2022,"Age: 0-14",14996
2022,"Age: 15-24",41774
2022,"Age: 25-44",57118
2022,"Age: 45-64",49399
2022,"Age: 65-74",20322
2022,"Age: 75+",9639
2022,"Gender: Male",96074
2022,"Gender: Female",93316
2022,"Gender: Other",3858
2022,"Employment: Employed",131333
2022,"Employment: Unemployed",17938
2022,"Employment: Self-Employed",43977
2023,"Age: 0-14",16276
2023,"Age: 15-24",41592
2023,"Age: 25-44",61334
2023,"Age: 45-64",48283
2023,"Age: 65-74",19707
2023,"Age: 75+",10099
2023,"Gender: Male",94561
2023,"Gender: Female",98605
2023,"Gender: Other",4125
2023,"Employment: Employed",134693
2023,"Employment: Unemployed",19018
2023,"Employment: Self-Employed",43580
2024,"Age: 0-14",16544
2024,"Age: 15-24",45435
2024,"Age: 25-44",59889
2024,"Age: 45-64",49465
2024,"Age: 65-74",20120
2024,"Age: 75+",10101
2024,"Gender: Male",94806
2024,"Gender: Female",102754
2024,"Gender: Other",3994
2024,"Employment: Employed",141835
2024,"Employment: Unemployed",17627
2024,"Employment: Self-Employed",42092
