"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",9
"Q01","Agree",19
"Q01","Strongly Agree",56
"Q02","Strongly Disagree",12.6
"Q02","Disagree",28.7
"Q02","Neutral",55.3
"Q02","Agree",3.4
"Q02","Strongly Agree",0
"Q03","Strongly Disagree",32
"Q03","Disagree",1.5
"Q03","Neutral",30
"Q03","Agree",36.5
"Q03","Strongly Agree",0
"Q04","Strongly Disagree",5
"Q04","Disagree",5
"Q04","Neutral",9
"Q04","Agree",18
"Q04","Strongly Agree",54
"Q05","Strongly Disagree",10
"Q05","Disagree",21
"Q05","Neutral",31
"Q05","Agree",26
"Q05","Strongly Agree",16
"Q06","Strongly Disagree",5
"Q06","Disagree",5
"Q06","Neutral",11
"Q06","Agree",21
"Q06","Strongly Agree",64
"Q07","Strongly Disagree",10
"Q07","Disagree",19
"Q07","Neutral",29
"Q07","Agree",24
"Q07","Strongly Agree",14
"Q08","Strongly Disagree",27.5
"Q08","Disagree",7
"Q08","Neutral",27.4
"Q08","Agree",38.1
"Q08","Strongly Agree",0
"Q09","Strongly Disagree",11
"Q09","Disagree",21
"Q09","Neutral",32
"Q09","Agree",26
"Q09","Strongly Agree",16
"Q10","Strongly Disagree",61
"Q10","Disagree",20
"Q10","Neutral",10
"Q10","Agree",5
"Q10","Strongly Agree",5
"Q11","Strongly Disagree",5.2
"Q11","Disagree",33.4
"Q11","Neutral",29.2
"Q11","Agree",32.1
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",11.2
"Q12","Disagree",38.3
"Q12","Neutral",5.2
"Q12","Agree",45.3
"Q12","Strongly Agree",0
"Q13","Strongly Disagree",18.7
"Q13","Disagree",26
"Q13","Neutral",44.6
"Q13","Agree",10.7
"Q13","Strongly Agree",0
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",10
"Q14","Agree",20
"Q14","Strongly Agree",60
"Q15","Strongly Disagree",55
"Q15","Disagree",18
"Q15","Neutral",9
"Q15","Agree",5
"Q15","Strongly Agree",5
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",10
"Q16","Agree",20
"Q16","Strongly Agree",61
"Q17","Strongly Disagree",57
"Q17","Disagree",19
"Q17","Neutral",10
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",64
"Q18","Disagree",21
"Q18","Neutral",11
"Q18","Agree",5
"Q18","Strongly Agree",5
"Q19","Strongly Disagree",11
"Q19","Disagree",22
"Q19","Neutral",33
"Q19","Agree",27
"Q19","Strongly Agree",16
"Q20","Strongly Disagree",56
"Q20","Disagree",19
"Q20","Neutral",9
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",11
"Q21","Disagree",21
"Q21","Neutral",32
"Q21","Agree",27
"Q21","Strongly Agree",16
"Q22","Strongly Disagree",5
"Q22","Disagree",5
"Q22","Neutral",11
"Q22","Agree",21
"Q22","Strongly Agree",64
"Q23","Strongly Disagree",10
"Q23","Disagree",20
"Q23","Neutral",30
"Q23","Agree",25
"Q23","Strongly Agree",15
"Q24","Strongly Disagree",16.4
"Q24","Disagree",23.6
"Q24","Neutral",47.6
"Q24","Agree",12.4
"Q24","Strongly Agree",0
"Q25","Strongly Disagree",66
"Q25","Disagree",22
"Q25","Neutral",11
"Q25","Agree",5
"Q25","Strongly Agree",5
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",10
"Q26","Agree",21
"Q26","Strongly Agree",62
"Q27","Strongly Disagree",30.5
"Q27","Disagree",28.9
"Q27","Neutral",27.3
"Q27","Agree",13.3
"Q27","Strongly Agree",0
"Q28","Strongly Disagree",10
"Q28","Disagree",19
"Q28","Neutral",29
"Q28","Agree",24
"Q28","Strongly Agree",14
"Q29","Strongly Disagree",11
"Q29","Disagree",22
"Q29","Neutral",33
"Q29","Agree",27
"Q29","Strongly Agree",16
"Q30","Strongly Disagree",5
"Q30","Disagree",5
"Q30","Neutral",10
"Q30","Agree",20
"Q30","Strongly Agree",60
