"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",21.6
"Q01","Disagree",15.5
"Q01","Neutral",40.6
"Q01","Agree",22.4
"Q01","Strongly Agree",0
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",11
"Q02","Agree",22
"Q02","Strongly Agree",66
"Q03","Strongly Disagree",64
"Q03","Disagree",21
"Q03","Neutral",11
"Q03","Agree",5
"Q03","Strongly Agree",5
"Q04","Strongly Disagree",9
"Q04","Disagree",19
"Q04","Neutral",28
"Q04","Agree",23
"Q04","Strongly Agree",14
"Q05","Strongly Disagree",54
"Q05","Disagree",18
"Q05","Neutral",9
"Q05","Agree",5
"Q05","Strongly Agree",5
"Q06","Strongly Disagree",65
"Q06","Disagree",22
"Q06","Neutral",11
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",10
"Q07","Disagree",19
"Q07","Neutral",29
"Q07","Agree",24
"Q07","Strongly Agree",14
"Q08","Strongly Disagree",21.3
"Q08","Disagree",15.1
"Q08","Neutral",2.1
"Q08","Agree",61.6
"Q08","Strongly Agree",0
"Q09","Strongly Disagree",65
"Q09","Disagree",22
"Q09","Neutral",11
"Q09","Agree",5
"Q09","Strongly Agree",5
"Q10","Strongly Disagree",59
"Q10","Disagree",20
"Q10","Neutral",10
"Q10","Agree",5
"Q10","Strongly Agree",5
"Q11","Strongly Disagree",58
"Q11","Disagree",19
"Q11","Neutral",10
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",5
"Q12","Disagree",5
"Q12","Neutral",10
"Q12","Agree",19
"Q12","Strongly Agree",58
"Q13","Strongly Disagree",60
"Q13","Disagree",20
"Q13","Neutral",10
"Q13","Agree",5
"Q13","Strongly Agree",5
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",10
"Q14","Agree",20
"Q14","Strongly Agree",60
"Q15","Strongly Disagree",10
"Q15","Disagree",20
"Q15","Neutral",31
"Q15","Agree",26
"Q15","Strongly Agree",15
"Q16","Strongly Disagree",57
"Q16","Disagree",19
"Q16","Neutral",9
"Q16","Agree",5
"Q16","Strongly Agree",5
"Q17","Strongly Disagree",9
"Q17","Disagree",19
"Q17","Neutral",28
"Q17","Agree",23
"Q17","Strongly Agree",14
"Q18","Strongly Disagree",65
"Q18","Disagree",22
"Q18","Neutral",11
"Q18","Agree",5
"Q18","Strongly Agree",5
"Q19","Strongly Disagree",5
"Q19","Disagree",5
"Q19","Neutral",10
"Q19","Agree",19
"Q19","Strongly Agree",57
"Q20","Strongly Disagree",61
"Q20","Disagree",20
"Q20","Neutral",10
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",60
"Q21","Disagree",20
"Q21","Neutral",10
"Q21","Agree",5
"Q21","Strongly Agree",5
"Q22","Strongly Disagree",9.9
"Q22","Disagree",36.5
"Q22","Neutral",42.4
"Q22","Agree",11.2
"Q22","Strongly Agree",0
"Q23","Strongly Disagree",62
"Q23","Disagree",21
"Q23","Neutral",10
"Q23","Agree",5
"Q23","Strongly Agree",5
"Q24","Strongly Disagree",10
"Q24","Disagree",19
"Q24","Neutral",29
"Q24","Agree",24
"Q24","Strongly Agree",14
"Q25","Strongly Disagree",54
"Q25","Disagree",18
"Q25","Neutral",9
"Q25","Agree",5
"Q25","Strongly Agree",5
"Q26","Strongly Disagree",62
"Q26","Disagree",21
"Q26","Neutral",10
"Q26","Agree",5
"Q26","Strongly Agree",5
"Q27","Strongly Disagree",64
"Q27","Disagree",21
"Q27","Neutral",11
"Q27","Agree",5
"Q27","Strongly Agree",5
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",10
"Q28","Agree",21
"Q28","Strongly Agree",62
"Q29","Strongly Disagree",26.9
"Q29","Disagree",31.9
"Q29","Neutral",24.2
"Q29","Agree",17
"Q29","Strongly Agree",0
"Q30","Strongly Disagree",60
"Q30","Disagree",20
"Q30","Neutral",10
"Q30","Agree",5
"Q30","Strongly Agree",5
