"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",63
"Q01","Disagree",21
"Q01","Neutral",11
"Q01","Agree",5
"Q01","Strongly Agree",5
"Q02","Strongly Disagree",65
"Q02","Disagree",22
"Q02","Neutral",11
"Q02","Agree",5
"Q02","Strongly Agree",5
"Q03","Strongly Disagree",5
"Q03","Disagree",5
"Q03","Neutral",9
"Q03","Agree",19
"Q03","Strongly Agree",57
"Q04","Strongly Disagree",57
"Q04","Disagree",19
"Q04","Neutral",10
"Q04","Agree",5
"Q04","Strongly Agree",5
"Q05","Strongly Disagree",10
"Q05","Disagree",21
"Q05","Neutral",31
"Q05","Agree",26
"Q05","Strongly Agree",16
"Q06","Strongly Disagree",10
"Q06","Disagree",20
"Q06","Neutral",30
"Q06","Agree",25
"Q06","Strongly Agree",15
"Q07","Strongly Disagree",63
"Q07","Disagree",21
"Q07","Neutral",10
"Q07","Agree",5
"Q07","Strongly Agree",5
"Q08","Strongly Disagree",65
"Q08","Disagree",22
"Q08","Neutral",11
"Q08","Agree",5
"Q08","Strongly Agree",5
"Q09","Strongly Disagree",10
"Q09","Disagree",21
"Q09","Neutral",31
"Q09","Agree",26
"Q09","Strongly Agree",15
"Q10","Strongly Disagree",5
"Q10","Disagree",5
"Q10","Neutral",11
"Q10","Agree",21
"Q10","Strongly Agree",64
"Q11","Strongly Disagree",63
"Q11","Disagree",21
"Q11","Neutral",10
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",5
"Q12","Disagree",5
"Q12","Neutral",10
"Q12","Agree",21
"Q12","Strongly Agree",62
"Q13","Strongly Disagree",10
"Q13","Disagree",21
"Q13","Neutral",31
"Q13","Agree",26
"Q13","Strongly Agree",15
"Q14","Strongly Disagree",48.6
"Q14","Disagree",28.4
"Q14","Neutral",8.5
"Q14","Agree",14.5
"Q14","Strongly Agree",0
"Q15","Strongly Disagree",9
"Q15","Disagree",19
"Q15","Neutral",28
"Q15","Agree",24
"Q15","Strongly Agree",14
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",10
"Q16","Agree",21
"Q16","Strongly Agree",62
"Q17","Strongly Disagree",5
"Q17","Disagree",5
"Q17","Neutral",10
"Q17","Agree",21
"Q17","Strongly Agree",62
"Q18","Strongly Disagree",10
"Q18","Disagree",19
"Q18","Neutral",29
"Q18","Agree",24
"Q18","Strongly Agree",14
"Q19","Strongly Disagree",62
"Q19","Disagree",21
"Q19","Neutral",10
"Q19","Agree",5
"Q19","Strongly Agree",5
"Q20","Strongly Disagree",9.3
"Q20","Disagree",20.7
"Q20","Neutral",50.3
"Q20","Agree",19.7
"Q20","Strongly Agree",0
"Q21","Strongly Disagree",5
"Q21","Disagree",5
"Q21","Neutral",10
"Q21","Agree",20
"Q21","Strongly Agree",60
"Q22","Strongly Disagree",11
"Q22","Disagree",21
"Q22","Neutral",32
"Q22","Agree",27
"Q22","Strongly Agree",16
"Q23","Strongly Disagree",62
"Q23","Disagree",21
"Q23","Neutral",10
"Q23","Agree",5
"Q23","Strongly Agree",5
"Q24","Strongly Disagree",11
"Q24","Disagree",22
"Q24","Neutral",33
"Q24","Agree",27
"Q24","Strongly Agree",16
"Q25","Strongly Disagree",16.3
"Q25","Disagree",25.6
"Q25","Neutral",28.5
"Q25","Agree",29.6
"Q25","Strongly Agree",0
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",9
"Q26","Agree",19
"Q26","Strongly Agree",56
"Q27","Strongly Disagree",11
"Q27","Disagree",21
"Q27","Neutral",32
"Q27","Agree",26
"Q27","Strongly Agree",16
"Q28","Strongly Disagree",65
"Q28","Disagree",22
"Q28","Neutral",11
"Q28","Agree",5
"Q28","Strongly Agree",5
"Q29","Strongly Disagree",43.5
"Q29","Disagree",20.8
"Q29","Neutral",8.9
"Q29","Agree",26.9
"Q29","Strongly Agree",0
"Q30","Strongly Disagree",22.4
"Q30","Disagree",17.8
"Q30","Neutral",35.6
"Q30","Agree",24.2
"Q30","Strongly Agree",0
