"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",56
"Q01","Disagree",19
"Q01","Neutral",9
"Q01","Agree",5
"Q01","Strongly Agree",5
"Q02","Strongly Disagree",9
"Q02","Disagree",19
"Q02","Neutral",28
"Q02","Agree",24
"Q02","Strongly Agree",14
"Q03","Strongly Disagree",64
"Q03","Disagree",21
"Q03","Neutral",11
"Q03","Agree",5
"Q03","Strongly Agree",5
"Q04","Strongly Disagree",5
"Q04","Disagree",5
"Q04","Neutral",10
"Q04","Agree",20
"Q04","Strongly Agree",59
"Q05","Strongly Disagree",64
"Q05","Disagree",21
"Q05","Neutral",11
"Q05","Agree",5
"Q05","Strongly Agree",5
"Q06","Strongly Disagree",10
"Q06","Disagree",19
"Q06","Neutral",29
"Q06","Agree",24
"Q06","Strongly Agree",14
"Q07","Strongly Disagree",5
"Q07","Disagree",5
"Q07","Neutral",11
"Q07","Agree",21
"Q07","Strongly Agree",64
"Q08","Strongly Disagree",5
"Q08","Disagree",5
"Q08","Neutral",10
"Q08","Agree",20
"Q08","Strongly Agree",60
"Q09","Strongly Disagree",72.9
"Q09","Disagree",18.4
"Q09","Neutral",5
"Q09","Agree",3.7
"Q09","Strongly Agree",0
"Q10","Strongly Disagree",18.4
"Q10","Disagree",38.8
"Q10","Neutral",37.8
"Q10","Agree",5
"Q10","Strongly Agree",0
"Q11","Strongly Disagree",56
"Q11","Disagree",19
"Q11","Neutral",9
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",5
"Q12","Disagree",5
"Q12","Neutral",10
"Q12","Agree",20
"Q12","Strongly Agree",61
"Q13","Strongly Disagree",64
"Q13","Disagree",21
"Q13","Neutral",11
"Q13","Agree",5
"Q13","Strongly Agree",5
"Q14","Strongly Disagree",16.3
"Q14","Disagree",23.2
"Q14","Neutral",33.8
"Q14","Agree",26.6
"Q14","Strongly Agree",0
"Q15","Strongly Disagree",8.4
"Q15","Disagree",36.8
"Q15","Neutral",20.9
"Q15","Agree",33.9
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",19.6
"Q16","Disagree",14.9
"Q16","Neutral",40.9
"Q16","Agree",24.6
"Q16","Strongly Agree",0
"Q17","Strongly Disagree",56
"Q17","Disagree",19
"Q17","Neutral",9
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",5
"Q18","Disagree",5
"Q18","Neutral",10
"Q18","Agree",21
"Q18","Strongly Agree",62
"Q19","Strongly Disagree",5
"Q19","Disagree",5
"Q19","Neutral",10
"Q19","Agree",21
"Q19","Strongly Agree",62
"Q20","Strongly Disagree",46.6
"Q20","Disagree",21.1
"Q20","Neutral",7
"Q20","Agree",25.3
"Q20","Strongly Agree",0
"Q21","Strongly Disagree",5
"Q21","Disagree",5
"Q21","Neutral",10
"Q21","Agree",21
"Q21","Strongly Agree",63
"Q22","Strongly Disagree",10
"Q22","Disagree",20
"Q22","Neutral",31
"Q22","Agree",25
"Q22","Strongly Agree",15
"Q23","Strongly Disagree",11
"Q23","Disagree",22
"Q23","Neutral",33
"Q23","Agree",27
"Q23","Strongly Agree",16
"Q24","Strongly Disagree",9
"Q24","Disagree",19
"Q24","Neutral",28
"Q24","Agree",23
"Q24","Strongly Agree",14
"Q25","Strongly Disagree",62
"Q25","Disagree",21
"Q25","Neutral",10
"Q25","Agree",5
"Q25","Strongly Agree",5
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",10
"Q26","Agree",20
"Q26","Strongly Agree",60
"Q27","Strongly Disagree",5
"Q27","Disagree",5
"Q27","Neutral",9
"Q27","Agree",19
"Q27","Strongly Agree",56
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",9
"Q28","Agree",18
"Q28","Strongly Agree",55
"Q29","Strongly Disagree",49.6
"Q29","Disagree",16.5
"Q29","Neutral",31
"Q29","Agree",2.9
"Q29","Strongly Agree",0
"Q30","Strongly Disagree",65
"Q30","Disagree",22
"Q30","Neutral",11
"Q30","Agree",5
"Q30","Strongly Agree",5
