"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",16.8
"Q01","Disagree",28.3
"Q01","Neutral",27
"Q01","Agree",27.9
"Q01","Strongly Agree",0
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",9
"Q02","Agree",19
"Q02","Strongly Agree",56
"Q03","Strongly Disagree",55
"Q03","Disagree",18
"Q03","Neutral",9
"Q03","Agree",5
"Q03","Strongly Agree",5
"Q04","Strongly Disagree",63
"Q04","Disagree",21
"Q04","Neutral",11
"Q04","Agree",5
"Q04","Strongly Agree",5
"Q05","Strongly Disagree",5
"Q05","Disagree",5
"Q05","Neutral",10
"Q05","Agree",20
"Q05","Strongly Agree",59
"Q06","Strongly Disagree",18.1
"Q06","Disagree",26.2
"Q06","Neutral",29.3
"Q06","Agree",26.4
"Q06","Strongly Agree",0
"Q07","Strongly Disagree",5
"Q07","Disagree",5
"Q07","Neutral",10
"Q07","Agree",19
"Q07","Strongly Agree",58
"Q08","Strongly Disagree",9
"Q08","Disagree",18
"Q08","Neutral",28
"Q08","Agree",23
"Q08","Strongly Agree",14
"Q09","Strongly Disagree",11
"Q09","Disagree",22
"Q09","Neutral",32
"Q09","Agree",27
"Q09","Strongly Agree",16
"Q10","Strongly Disagree",5
"Q10","Disagree",5
"Q10","Neutral",9
"Q10","Agree",18
"Q10","Strongly Agree",55
"Q11","Strongly Disagree",56
"Q11","Disagree",19
"Q11","Neutral",9
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",63
"Q12","Disagree",21
"Q12","Neutral",10
"Q12","Agree",5
"Q12","Strongly Agree",5
"Q13","Strongly Disagree",55
"Q13","Disagree",18
"Q13","Neutral",9
"Q13","Agree",5
"Q13","Strongly Agree",5
"Q14","Strongly Disagree",10
"Q14","Disagree",19
"Q14","Neutral",29
"Q14","Agree",24
"Q14","Strongly Agree",14
"Q15","Strongly Disagree",5.3
"Q15","Disagree",41.3
"Q15","Neutral",32.8
"Q15","Agree",20.7
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",14.4
"Q16","Disagree",33.2
"Q16","Neutral",18.8
"Q16","Agree",33.6
"Q16","Strongly Agree",0
"Q17","Strongly Disagree",30.8
"Q17","Disagree",12.2
"Q17","Neutral",32
"Q17","Agree",24.9
"Q17","Strongly Agree",0
"Q18","Strongly Disagree",10
"Q18","Disagree",19
"Q18","Neutral",29
"Q18","Agree",24
"Q18","Strongly Agree",15
"Q19","Strongly Disagree",59
"Q19","Disagree",20
"Q19","Neutral",10
"Q19","Agree",5
"Q19","Strongly Agree",5
"Q20","Strongly Disagree",5
"Q20","Disagree",5
"Q20","Neutral",11
"Q20","Agree",21
"Q20","Strongly Agree",64
"Q21","Strongly Disagree",55
"Q21","Disagree",18
"Q21","Neutral",9
"Q21","Agree",5
"Q21","Strongly Agree",5
"Q22","Strongly Disagree",10
"Q22","Disagree",19
"Q22","Neutral",29
"Q22","Agree",24
"Q22","Strongly Agree",14
"Q23","Strongly Disagree",10
"Q23","Disagree",21
"Q23","Neutral",31
"Q23","Agree",26
"Q23","Strongly Agree",16
"Q24","Strongly Disagree",29.5
"Q24","Disagree",25.8
"Q24","Neutral",17.6
"Q24","Agree",27.1
"Q24","Strongly Agree",0
"Q25","Strongly Disagree",34.6
"Q25","Disagree",40
"Q25","Neutral",4.9
"Q25","Agree",20.5
"Q25","Strongly Agree",0
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",10
"Q26","Agree",20
"Q26","Strongly Agree",60
"Q27","Strongly Disagree",10
"Q27","Disagree",20
"Q27","Neutral",29
"Q27","Agree",25
"Q27","Strongly Agree",15
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",10
"Q28","Agree",21
"Q28","Strongly Agree",62
"Q29","Strongly Disagree",48.5
"Q29","Disagree",7.5
"Q29","Neutral",30.3
"Q29","Agree",13.7
"Q29","Strongly Agree",0
"Q30","Strongly Disagree",63
"Q30","Disagree",21
"Q30","Neutral",11
"Q30","Agree",5
"Q30","Strongly Agree",5
