"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",2.7
"Q01","Disagree",38.4
"Q01","Neutral",51.7
"Q01","Agree",7.2
"Q01","Strongly Agree",0
"Q02","Strongly Disagree",6.5
"Q02","Disagree",27.3
"Q02","Neutral",3.7
"Q02","Agree",62.4
"Q02","Strongly Agree",0
"Q03","Strongly Disagree",62
"Q03","Disagree",21
"Q03","Neutral",10
"Q03","Agree",5
"Q03","Strongly Agree",5
"Q04","Strongly Disagree",55
"Q04","Disagree",18
"Q04","Neutral",9
"Q04","Agree",5
"Q04","Strongly Agree",5
"Q05","Strongly Disagree",61
"Q05","Disagree",20
"Q05","Neutral",10
"Q05","Agree",5
"Q05","Strongly Agree",5
"Q06","Strongly Disagree",57
"Q06","Disagree",19
"Q06","Neutral",10
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",28.1
"Q07","Disagree",40.5
"Q07","Neutral",17.7
"Q07","Agree",13.7
"Q07","Strongly Agree",0
"Q08","Strongly Disagree",31
"Q08","Disagree",19.4
"Q08","Neutral",36
"Q08","Agree",13.6
"Q08","Strongly Agree",0
"Q09","Strongly Disagree",22.6
"Q09","Disagree",27.9
"Q09","Neutral",25.7
"Q09","Agree",23.8
"Q09","Strongly Agree",0
"Q10","Strongly Disagree",9
"Q10","Disagree",19
"Q10","Neutral",28
"Q10","Agree",23
"Q10","Strongly Agree",14
"Q11","Strongly Disagree",63
"Q11","Disagree",21
"Q11","Neutral",11
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",62
"Q12","Disagree",21
"Q12","Neutral",10
"Q12","Agree",5
"Q12","Strongly Agree",5
"Q13","Strongly Disagree",24.5
"Q13","Disagree",31.4
"Q13","Neutral",22
"Q13","Agree",22.1
"Q13","Strongly Agree",0
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",9
"Q14","Agree",19
"Q14","Strongly Agree",56
"Q15","Strongly Disagree",5.3
"Q15","Disagree",42.3
"Q15","Neutral",20.6
"Q15","Agree",31.9
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",9
"Q16","Disagree",19
"Q16","Neutral",28
"Q16","Agree",24
"Q16","Strongly Agree",14
"Q17","Strongly Disagree",59
"Q17","Disagree",20
"Q17","Neutral",10
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",5
"Q18","Disagree",5
"Q18","Neutral",9
"Q18","Agree",18
"Q18","Strongly Agree",55
"Q19","Strongly Disagree",5
"Q19","Disagree",5
"Q19","Neutral",9
"Q19","Agree",19
"Q19","Strongly Agree",56
"Q20","Strongly Disagree",59
"Q20","Disagree",20
"Q20","Neutral",10
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",9
"Q21","Disagree",18
"Q21","Neutral",27
"Q21","Agree",23
"Q21","Strongly Agree",14
"Q22","Strongly Disagree",5
"Q22","Disagree",5
"Q22","Neutral",9
"Q22","Agree",18
"Q22","Strongly Agree",55
"Q23","Strongly Disagree",5
"Q23","Disagree",5
"Q23","Neutral",11
"Q23","Agree",21
"Q23","Strongly Agree",64
"Q24","Strongly Disagree",14.4
"Q24","Disagree",44.1
"Q24","Neutral",1.6
"Q24","Agree",39.9
"Q24","Strongly Agree",0
"Q25","Strongly Disagree",55
"Q25","Disagree",18
"Q25","Neutral",9
"Q25","Agree",5
"Q25","Strongly Agree",5
"Q26","Strongly Disagree",9
"Q26","Disagree",19
"Q26","Neutral",28
"Q26","Agree",23
"Q26","Strongly Agree",14
"Q27","Strongly Disagree",19.9
"Q27","Disagree",30.9
"Q27","Neutral",8.6
"Q27","Agree",40.6
"Q27","Strongly Agree",0
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",9
"Q28","Agree",19
"Q28","Strongly Agree",57
"Q29","Strongly Disagree",11
"Q29","Disagree",21
"Q29","Neutral",32
"Q29","Agree",26
"Q29","Strongly Agree",16
"Q30","Strongly Disagree",5
"Q30","Disagree",5
"Q30","Neutral",10
"Q30","Agree",19
"Q30","Strongly Agree",57
