"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",10
"Q01","Agree",20
"Q01","Strongly Agree",60
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",11
"Q02","Agree",22
"Q02","Strongly Agree",66
"Q03","Strongly Disagree",5
"Q03","Disagree",5
"Q03","Neutral",11
"Q03","Agree",21
"Q03","Strongly Agree",64
"Q04","Strongly Disagree",63
"Q04","Disagree",21
"Q04","Neutral",11
"Q04","Agree",5
"Q04","Strongly Agree",5
"Q05","Strongly Disagree",5
"Q05","Disagree",5
"Q05","Neutral",9
"Q05","Agree",19
"Q05","Strongly Agree",56
"Q06","Strongly Disagree",57
"Q06","Disagree",19
"Q06","Neutral",9
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",11
"Q07","Disagree",22
"Q07","Neutral",33
"Q07","Agree",27
"Q07","Strongly Agree",16
"Q08","Strongly Disagree",9
"Q08","Disagree",19
"Q08","Neutral",28
"Q08","Agree",23
"Q08","Strongly Agree",14
"Q09","Strongly Disagree",5
"Q09","Disagree",5
"Q09","Neutral",10
"Q09","Agree",20
"Q09","Strongly Agree",61
"Q10","Strongly Disagree",39.1
"Q10","Disagree",13.6
"Q10","Neutral",40.7
"Q10","Agree",6.6
"Q10","Strongly Agree",0
"Q11","Strongly Disagree",4.8
"Q11","Disagree",31.3
"Q11","Neutral",49
"Q11","Agree",14.8
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",5
"Q12","Disagree",5
"Q12","Neutral",10
"Q12","Agree",20
"Q12","Strongly Agree",59
"Q13","Strongly Disagree",9
"Q13","Disagree",19
"Q13","Neutral",28
"Q13","Agree",23
"Q13","Strongly Agree",14
"Q14","Strongly Disagree",10
"Q14","Disagree",21
"Q14","Neutral",31
"Q14","Agree",26
"Q14","Strongly Agree",16
"Q15","Strongly Disagree",25.9
"Q15","Disagree",24.8
"Q15","Neutral",29.3
"Q15","Agree",19.9
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",9
"Q16","Agree",18
"Q16","Strongly Agree",55
"Q17","Strongly Disagree",54
"Q17","Disagree",18
"Q17","Neutral",9
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",10
"Q18","Disagree",20
"Q18","Neutral",30
"Q18","Agree",25
"Q18","Strongly Agree",15
"Q19","Strongly Disagree",11.3
"Q19","Disagree",30.3
"Q19","Neutral",53.9
"Q19","Agree",4.5
"Q19","Strongly Agree",0
"Q20","Strongly Disagree",11
"Q20","Disagree",21
"Q20","Neutral",32
"Q20","Agree",26
"Q20","Strongly Agree",16
"Q21","Strongly Disagree",27.6
"Q21","Disagree",30.2
"Q21","Neutral",12.2
"Q21","Agree",30.1
"Q21","Strongly Agree",0
"Q22","Strongly Disagree",23.8
"Q22","Disagree",22
"Q22","Neutral",11.9
"Q22","Agree",42.4
"Q22","Strongly Agree",0
"Q23","Strongly Disagree",25.2
"Q23","Disagree",4.6
"Q23","Neutral",20.3
"Q23","Agree",49.8
"Q23","Strongly Agree",0
"Q24","Strongly Disagree",3.8
"Q24","Disagree",48
"Q24","Neutral",14
"Q24","Agree",34.2
"Q24","Strongly Agree",0
"Q25","Strongly Disagree",5
"Q25","Disagree",5
"Q25","Neutral",10
"Q25","Agree",20
"Q25","Strongly Agree",59
"Q26","Strongly Disagree",60
"Q26","Disagree",20
"Q26","Neutral",10
"Q26","Agree",5
"Q26","Strongly Agree",5
"Q27","Strongly Disagree",61
"Q27","Disagree",20
"Q27","Neutral",10
"Q27","Agree",5
"Q27","Strongly Agree",5
"Q28","Strongly Disagree",11
"Q28","Disagree",22
"Q28","Neutral",33
"Q28","Agree",27
"Q28","Strongly Agree",16
"Q29","Strongly Disagree",5
"Q29","Disagree",5
"Q29","Neutral",9
"Q29","Agree",18
"Q29","Strongly Agree",55
"Q30","Strongly Disagree",14.7
"Q30","Disagree",25.1
"Q30","Neutral",25.7
"Q30","Agree",34.5
"Q30","Strongly Agree",0
