"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",9
"Q01","Disagree",19
"Q01","Neutral",28
"Q01","Agree",23
"Q01","Strongly Agree",14
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",9
"Q02","Agree",18
"Q02","Strongly Agree",54
"Q03","Strongly Disagree",28.5
"Q03","Disagree",13.6
"Q03","Neutral",34.1
"Q03","Agree",23.8
"Q03","Strongly Agree",0
"Q04","Strongly Disagree",11
"Q04","Disagree",21
"Q04","Neutral",32
"Q04","Agree",27
"Q04","Strongly Agree",16
"Q05","Strongly Disagree",19.6
"Q05","Disagree",15.1
"Q05","Neutral",25.9
"Q05","Agree",39.5
"Q05","Strongly Agree",0
"Q06","Strongly Disagree",62
"Q06","Disagree",21
"Q06","Neutral",10
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",62
"Q07","Disagree",21
"Q07","Neutral",10
"Q07","Agree",5
"Q07","Strongly Agree",5
"Q08","Strongly Disagree",5
"Q08","Disagree",5
"Q08","Neutral",9
"Q08","Agree",18
"Q08","Strongly Agree",55
"Q09","Strongly Disagree",12.6
"Q09","Disagree",24.6
"Q09","Neutral",14.8
"Q09","Agree",48
"Q09","Strongly Agree",0
"Q10","Strongly Disagree",10
"Q10","Disagree",20
"Q10","Neutral",30
"Q10","Agree",25
"Q10","Strongly Agree",15
"Q11","Strongly Disagree",40.4
"Q11","Disagree",31.5
"Q11","Neutral",20.4
"Q11","Agree",7.8
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",10
"Q12","Disagree",20
"Q12","Neutral",31
"Q12","Agree",26
"Q12","Strongly Agree",15
"Q13","Strongly Disagree",4.5
"Q13","Disagree",38.6
"Q13","Neutral",15.3
"Q13","Agree",41.6
"Q13","Strongly Agree",0
"Q14","Strongly Disagree",57
"Q14","Disagree",19
"Q14","Neutral",9
"Q14","Agree",5
"Q14","Strongly Agree",5
"Q15","Strongly Disagree",9.2
"Q15","Disagree",32.2
"Q15","Neutral",50.8
"Q15","Agree",7.8
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",9
"Q16","Agree",19
"Q16","Strongly Agree",57
"Q17","Strongly Disagree",5
"Q17","Disagree",5
"Q17","Neutral",9
"Q17","Agree",19
"Q17","Strongly Agree",56
"Q18","Strongly Disagree",62
"Q18","Disagree",21
"Q18","Neutral",10
"Q18","Agree",5
"Q18","Strongly Agree",5
"Q19","Strongly Disagree",11
"Q19","Disagree",22
"Q19","Neutral",33
"Q19","Agree",27
"Q19","Strongly Agree",16
"Q20","Strongly Disagree",38.3
"Q20","Disagree",28.5
"Q20","Neutral",23.1
"Q20","Agree",10
"Q20","Strongly Agree",0
"Q21","Strongly Disagree",64
"Q21","Disagree",21
"Q21","Neutral",11
"Q21","Agree",5
"Q21","Strongly Agree",5
"Q22","Strongly Disagree",20.4
"Q22","Disagree",35.1
"Q22","Neutral",27.8
"Q22","Agree",16.7
"Q22","Strongly Agree",0
"Q23","Strongly Disagree",5
"Q23","Disagree",5
"Q23","Neutral",11
"Q23","Agree",22
"Q23","Strongly Agree",66
"Q24","Strongly Disagree",29.4
"Q24","Disagree",35.5
"Q24","Neutral",9.4
"Q24","Agree",25.7
"Q24","Strongly Agree",0
"Q25","Strongly Disagree",22
"Q25","Disagree",13
"Q25","Neutral",28.6
"Q25","Agree",36.4
"Q25","Strongly Agree",0
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",10
"Q26","Agree",19
"Q26","Strongly Agree",58
"Q27","Strongly Disagree",5
"Q27","Disagree",5
"Q27","Neutral",10
"Q27","Agree",19
"Q27","Strongly Agree",58
"Q28","Strongly Disagree",55
"Q28","Disagree",18
"Q28","Neutral",9
"Q28","Agree",5
"Q28","Strongly Agree",5
"Q29","Strongly Disagree",65
"Q29","Disagree",22
"Q29","Neutral",11
"Q29","Agree",5
"Q29","Strongly Agree",5
"Q30","Strongly Disagree",10
"Q30","Disagree",20
"Q30","Neutral",30
"Q30","Agree",25
"Q30","Strongly Agree",15
