"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",11
"Q01","Disagree",21
"Q01","Neutral",32
"Q01","Agree",27
"Q01","Strongly Agree",16
"Q02","Strongly Disagree",5
"Q02","Disagree",5
"Q02","Neutral",9
"Q02","Agree",19
"Q02","Strongly Agree",57
"Q03","Strongly Disagree",5
"Q03","Disagree",5
"Q03","Neutral",9
"Q03","Agree",19
"Q03","Strongly Agree",56
"Q04","Strongly Disagree",55
"Q04","Disagree",18
"Q04","Neutral",9
"Q04","Agree",5
"Q04","Strongly Agree",5
"Q05","Strongly Disagree",5
"Q05","Disagree",5
"Q05","Neutral",10
"Q05","Agree",21
"Q05","Strongly Agree",62
"Q06","Strongly Disagree",59
"Q06","Disagree",20
"Q06","Neutral",10
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",57
"Q07","Disagree",19
"Q07","Neutral",9
"Q07","Agree",5
"Q07","Strongly Agree",5
"Q08","Strongly Disagree",35.8
"Q08","Disagree",30.8
"Q08","Neutral",23.5
"Q08","Agree",9.8
"Q08","Strongly Agree",0
"Q09","Strongly Disagree",35.9
"Q09","Disagree",2.3
"Q09","Neutral",13.5
"Q09","Agree",48.4
"Q09","Strongly Agree",0
"Q10","Strongly Disagree",0.9
"Q10","Disagree",53
"Q10","Neutral",4.8
"Q10","Agree",41.2
"Q10","Strongly Agree",0
"Q11","Strongly Disagree",0.9
"Q11","Disagree",48.5
"Q11","Neutral",31.3
"Q11","Agree",19.3
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",10
"Q12","Disagree",21
"Q12","Neutral",31
"Q12","Agree",26
"Q12","Strongly Agree",15
"Q13","Strongly Disagree",5
"Q13","Disagree",5
"Q13","Neutral",10
"Q13","Agree",19
"Q13","Strongly Agree",58
"Q14","Strongly Disagree",32
"Q14","Disagree",23.3
"Q14","Neutral",29
"Q14","Agree",15.7
"Q14","Strongly Agree",0
"Q15","Strongly Disagree",42.9
"Q15","Disagree",33.6
"Q15","Neutral",0.5
"Q15","Agree",23
"Q15","Strongly Agree",0
"Q16","Strongly Disagree",5
"Q16","Disagree",5
"Q16","Neutral",9
"Q16","Agree",19
"Q16","Strongly Agree",56
"Q17","Strongly Disagree",61
"Q17","Disagree",20
"Q17","Neutral",10
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",58
"Q18","Disagree",19
"Q18","Neutral",10
"Q18","Agree",5
"Q18","Strongly Agree",5
"Q19","Strongly Disagree",10
"Q19","Disagree",20
"Q19","Neutral",30
"Q19","Agree",25
"Q19","Strongly Agree",15
"Q20","Strongly Disagree",62
"Q20","Disagree",21
"Q20","Neutral",10
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",10
"Q21","Disagree",20
"Q21","Neutral",31
"Q21","Agree",26
"Q21","Strongly Agree",15
"Q22","Strongly Disagree",55
"Q22","Disagree",18
"Q22","Neutral",9
"Q22","Agree",5
"Q22","Strongly Agree",5
"Q23","Strongly Disagree",62
"Q23","Disagree",21
"Q23","Neutral",10
"Q23","Agree",5
"Q23","Strongly Agree",5
"Q24","Strongly Disagree",5
"Q24","Disagree",5
"Q24","Neutral",10
"Q24","Agree",20
"Q24","Strongly Agree",59
"Q25","Strongly Disagree",10
"Q25","Disagree",20
"Q25","Neutral",29
"Q25","Agree",24
"Q25","Strongly Agree",15
"Q26","Strongly Disagree",0.4
"Q26","Disagree",49.3
"Q26","Neutral",4.2
"Q26","Agree",46.1
"Q26","Strongly Agree",0
"Q27","Strongly Disagree",5
"Q27","Disagree",5
"Q27","Neutral",10
"Q27","Agree",21
"Q27","Strongly Agree",62
"Q28","Strongly Disagree",57
"Q28","Disagree",19
"Q28","Neutral",10
"Q28","Agree",5
"Q28","Strongly Agree",5
"Q29","Strongly Disagree",58
"Q29","Disagree",19
"Q29","Neutral",10
"Q29","Agree",5
"Q29","Strongly Agree",5
"Q30","Strongly Disagree",3.8
"Q30","Disagree",24.3
"Q30","Neutral",34.8
"Q30","Agree",37.1
"Q30","Strongly Agree",0
