"Years","Parties","voting_data"
2020,"Sovereign People",5.5
2020,"Community Change",12
2020,"Rational Change",20
2020,"Maroon",5.2
2020,"Gold",57.3
2021,"Sovereign People",18.3
2021,"Community Change",21.2
2021,"Rational Change",9.8
2021,"Maroon",3.4
2021,"Gold",47.3
2022,"Sovereign People",3.2
2022,"Community Change",0.9
2022,"Rational Change",5.1
2022,"Maroon",22.3
2022,"Gold",68.5
2023,"Sovereign People",21.7
2023,"Community Change",6
2023,"Rational Change",15.9
2023,"Maroon",24.4
2023,"Gold",32
2024,"Sovereign People",7.5
2024,"Community Change",2.7
2024,"Rational Change",7.6
2024,"Maroon",17.4
2024,"Gold",64.8
