"Years","Parties","voting_data"
2020,"Future First",1.2
2020,"Sovereign People",24
2020,"Progress and Peace",20.2
2020,"Progressive Rights",23.3
2020,"Gold",31.3
2021,"Future First",21.6
2021,"Sovereign People",5
2021,"Progress and Peace",16
2021,"Progressive Rights",22.3
2021,"Gold",35.1
2022,"Future First",3.6
2022,"Sovereign People",24.6
2022,"Progress and Peace",6.8
2022,"Progressive Rights",0.7
2022,"Gold",64.3
2023,"Future First",5.6
2023,"Sovereign People",10
2023,"Progress and Peace",5.8
2023,"Progressive Rights",7.5
2023,"Gold",71.1
2024,"Future First",19.8
2024,"Sovereign People",5.7
2024,"Progress and Peace",3.1
2024,"Progressive Rights",21.1
2024,"Gold",50.3
