"Years","Parties","voting_data"
2020,"Gold",3.3
2020,"Sovereign Democrat",22.3
2020,"Unity First",11.8
2020,"Community Change",22.1
2020,"Wind Power",40.5
2021,"Gold",18.1
2021,"Sovereign Democrat",8.6
2021,"Unity First",8.9
2021,"Community Change",8.5
2021,"Wind Power",55.9
2022,"Gold",19.2
2022,"Sovereign Democrat",12.4
2022,"Unity First",9.5
2022,"Community Change",2.6
2022,"Wind Power",56.3
2023,"Gold",8.2
2023,"Sovereign Democrat",11.5
2023,"Unity First",21.7
2023,"Community Change",22.7
2023,"Wind Power",35.9
2024,"Gold",3.2
2024,"Sovereign Democrat",23.4
2024,"Unity First",0.5
2024,"Community Change",21.7
2024,"Wind Power",51.2
