"Years","Parties","voting_data"
2020,"Unconditional Green",23.3
2020,"Thistle",20
2020,"Purple",18.8
2020,"New Progress",22.2
2020,"Community Change",15.7
2021,"Unconditional Green",5.5
2021,"Thistle",23.9
2021,"Purple",23.6
2021,"New Progress",17.7
2021,"Community Change",29.3
2022,"Unconditional Green",0.8
2022,"Thistle",5.3
2022,"Purple",11.6
2022,"New Progress",5.8
2022,"Community Change",76.5
2023,"Unconditional Green",0.9
2023,"Thistle",15.1
2023,"Purple",15
2023,"New Progress",16
2023,"Community Change",53
2024,"Unconditional Green",6.6
2024,"Thistle",22.3
2024,"Purple",11.1
2024,"New Progress",3.7
2024,"Community Change",56.3
