"Years","Parties","voting_data"
2020,"New Progress",8.3
2020,"Peace and Change",13.4
2020,"New Progress",10.1
2020,"Progress and Peace",2.9
2020,"Social Unity",65.3
2021,"New Progress",16.9
2021,"Peace and Change",0.5
2021,"New Progress",8
2021,"Progress and Peace",5.7
2021,"Social Unity",68.9
2022,"New Progress",8.7
2022,"Peace and Change",11.5
2022,"New Progress",12.3
2022,"Progress and Peace",23.1
2022,"Social Unity",44.4
2023,"New Progress",21.9
2023,"Peace and Change",3.1
2023,"New Progress",4.4
2023,"Progress and Peace",24.8
2023,"Social Unity",45.8
2024,"New Progress",7.2
2024,"Peace and Change",24.9
2024,"New Progress",7.1
2024,"Progress and Peace",1.9
2024,"Social Unity",58.9
