"Year","Revenue","Expenditure","Category"
2019,39343,NA,"Council Tax"
2020,30031,NA,"Council Tax"
2021,36677,NA,"Council Tax"
2022,33204,NA,"Council Tax"
2023,32447,NA,"Council Tax"
2024,36645,NA,"Council Tax"
2025,31843,NA,"Council Tax"
2026,31256,NA,"Council Tax"
2019,15094,NA,"Business rates"
2020,17841,NA,"Business rates"
2021,18958,NA,"Business rates"
2022,16521,NA,"Business rates"
2023,18205,NA,"Business rates"
2024,16118,NA,"Business rates"
2025,15219,NA,"Business rates"
2026,19390,NA,"Business rates"
2019,14989,NA,"Government grants"
2020,10678,NA,"Government grants"
2021,13527,NA,"Government grants"
2022,13904,NA,"Government grants"
2023,13926,NA,"Government grants"
2024,12110,NA,"Government grants"
2025,14527,NA,"Government grants"
2026,13978,NA,"Government grants"
2019,3293,NA,"Parking Fees/Fines"
2020,4842,NA,"Parking Fees/Fines"
2021,4376,NA,"Parking Fees/Fines"
2022,4645,NA,"Parking Fees/Fines"
2023,3430,NA,"Parking Fees/Fines"
2024,3264,NA,"Parking Fees/Fines"
2025,4323,NA,"Parking Fees/Fines"
2026,4214,NA,"Parking Fees/Fines"
2019,4931,NA,"Rental Income"
2020,4570,NA,"Rental Income"
2021,4873,NA,"Rental Income"
2022,4586,NA,"Rental Income"
2023,4681,NA,"Rental Income"
2024,4071,NA,"Rental Income"
2025,4383,NA,"Rental Income"
2026,4413,NA,"Rental Income"
2019,2751,NA,"Investment Income"
2020,2058,NA,"Investment Income"
2021,2132,NA,"Investment Income"
2022,2790,NA,"Investment Income"
2023,2230,NA,"Investment Income"
2024,2653,NA,"Investment Income"
2025,2006,NA,"Investment Income"
2026,3900,NA,"Investment Income"
2019,6295,NA,"License/Permit Fees"
2020,6306,NA,"License/Permit Fees"
2021,7869,NA,"License/Permit Fees"
2022,7621,NA,"License/Permit Fees"
2023,7693,NA,"License/Permit Fees"
2024,7886,NA,"License/Permit Fees"
2025,7465,NA,"License/Permit Fees"
2026,7297,NA,"License/Permit Fees"
2019,290,NA,"Other Income"
2020,213,NA,"Other Income"
2021,154,NA,"Other Income"
2022,134,NA,"Other Income"
2023,295,NA,"Other Income"
2024,297,NA,"Other Income"
2025,230,NA,"Other Income"
2026,251,NA,"Other Income"
2019,NA,25503,"Public Safety Expenditures"
2020,NA,25333,"Public Safety Expenditures"
2021,NA,26783,"Public Safety Expenditures"
2022,NA,25461,"Public Safety Expenditures"
2023,NA,28123,"Public Safety Expenditures"
2024,NA,27046,"Public Safety Expenditures"
2025,NA,26831,"Public Safety Expenditures"
2026,NA,29106,"Public Safety Expenditures"
2019,NA,19983,"Education Expenditures"
2020,NA,19563,"Education Expenditures"
2021,NA,17072,"Education Expenditures"
2022,NA,15564,"Education Expenditures"
2023,NA,15116,"Education Expenditures"
2024,NA,15997,"Education Expenditures"
2025,NA,15818,"Education Expenditures"
2026,NA,19467,"Education Expenditures"
2019,NA,10664,"Transportation/Infrastructure Expenditures"
2020,NA,11434,"Transportation/Infrastructure Expenditures"
2021,NA,14520,"Transportation/Infrastructure Expenditures"
2022,NA,14208,"Transportation/Infrastructure Expenditures"
2023,NA,11363,"Transportation/Infrastructure Expenditures"
2024,NA,14351,"Transportation/Infrastructure Expenditures"
2025,NA,12835,"Transportation/Infrastructure Expenditures"
2026,NA,14144,"Transportation/Infrastructure Expenditures"
2019,NA,13946,"Social Services Expenditures"
2020,NA,12458,"Social Services Expenditures"
2021,NA,14264,"Social Services Expenditures"
2022,NA,12738,"Social Services Expenditures"
2023,NA,12301,"Social Services Expenditures"
2024,NA,13077,"Social Services Expenditures"
2025,NA,14986,"Social Services Expenditures"
2026,NA,13206,"Social Services Expenditures"
2019,NA,4113,"Parks/Recreation Expenditures"
2020,NA,3419,"Parks/Recreation Expenditures"
2021,NA,3520,"Parks/Recreation Expenditures"
2022,NA,3247,"Parks/Recreation Expenditures"
2023,NA,3243,"Parks/Recreation Expenditures"
2024,NA,4041,"Parks/Recreation Expenditures"
2025,NA,3977,"Parks/Recreation Expenditures"
2026,NA,4989,"Parks/Recreation Expenditures"
2019,NA,6606,"Public Works Expenditures"
2020,NA,6887,"Public Works Expenditures"
2021,NA,8018,"Public Works Expenditures"
2022,NA,6144,"Public Works Expenditures"
2023,NA,8461,"Public Works Expenditures"
2024,NA,7199,"Public Works Expenditures"
2025,NA,8156,"Public Works Expenditures"
2026,NA,6164,"Public Works Expenditures"
2019,NA,8199,"Administration Expenditures"
2020,NA,7557,"Administration Expenditures"
2021,NA,6924,"Administration Expenditures"
2022,NA,8359,"Administration Expenditures"
2023,NA,6210,"Administration Expenditures"
2024,NA,6373,"Administration Expenditures"
2025,NA,6940,"Administration Expenditures"
2026,NA,6160,"Administration Expenditures"
2019,NA,6007,"Health Services Expenditures"
2020,NA,6101,"Health Services Expenditures"
2021,NA,6193,"Health Services Expenditures"
2022,NA,5660,"Health Services Expenditures"
2023,NA,4406,"Health Services Expenditures"
2024,NA,5939,"Health Services Expenditures"
2025,NA,5984,"Health Services Expenditures"
2026,NA,5496,"Health Services Expenditures"
2019,NA,1830,"Contingency Expenditures"
2020,NA,1975,"Contingency Expenditures"
2021,NA,1891,"Contingency Expenditures"
2022,NA,1535,"Contingency Expenditures"
2023,NA,1554,"Contingency Expenditures"
2024,NA,1494,"Contingency Expenditures"
2025,NA,1060,"Contingency Expenditures"
2026,NA,1085,"Contingency Expenditures"
