"Year","Revenue","Expenditure","Category"
2019,37287,NA,"Council Tax"
2020,39076,NA,"Council Tax"
2021,38699,NA,"Council Tax"
2022,37645,NA,"Council Tax"
2023,34076,NA,"Council Tax"
2024,36744,NA,"Council Tax"
2025,35849,NA,"Council Tax"
2026,36268,NA,"Council Tax"
2019,18415,NA,"Business rates"
2020,15702,NA,"Business rates"
2021,15548,NA,"Business rates"
2022,15126,NA,"Business rates"
2023,16698,NA,"Business rates"
2024,18707,NA,"Business rates"
2025,15303,NA,"Business rates"
2026,15427,NA,"Business rates"
2019,14977,NA,"Government grants"
2020,14151,NA,"Government grants"
2021,10057,NA,"Government grants"
2022,14859,NA,"Government grants"
2023,12521,NA,"Government grants"
2024,12479,NA,"Government grants"
2025,10700,NA,"Government grants"
2026,12493,NA,"Government grants"
2019,3391,NA,"Parking Fees/Fines"
2020,3015,NA,"Parking Fees/Fines"
2021,3901,NA,"Parking Fees/Fines"
2022,4603,NA,"Parking Fees/Fines"
2023,3025,NA,"Parking Fees/Fines"
2024,3774,NA,"Parking Fees/Fines"
2025,4395,NA,"Parking Fees/Fines"
2026,3861,NA,"Parking Fees/Fines"
2019,4029,NA,"Rental Income"
2020,4137,NA,"Rental Income"
2021,4549,NA,"Rental Income"
2022,4458,NA,"Rental Income"
2023,4044,NA,"Rental Income"
2024,4540,NA,"Rental Income"
2025,4705,NA,"Rental Income"
2026,4642,NA,"Rental Income"
2019,2996,NA,"Investment Income"
2020,3906,NA,"Investment Income"
2021,2483,NA,"Investment Income"
2022,3870,NA,"Investment Income"
2023,2834,NA,"Investment Income"
2024,2370,NA,"Investment Income"
2025,3968,NA,"Investment Income"
2026,2563,NA,"Investment Income"
2019,6697,NA,"License/Permit Fees"
2020,7473,NA,"License/Permit Fees"
2021,6377,NA,"License/Permit Fees"
2022,6508,NA,"License/Permit Fees"
2023,6913,NA,"License/Permit Fees"
2024,6058,NA,"License/Permit Fees"
2025,6998,NA,"License/Permit Fees"
2026,7164,NA,"License/Permit Fees"
2019,111,NA,"Other Income"
2020,138,NA,"Other Income"
2021,237,NA,"Other Income"
2022,166,NA,"Other Income"
2023,165,NA,"Other Income"
2024,213,NA,"Other Income"
2025,242,NA,"Other Income"
2026,131,NA,"Other Income"
2019,NA,26586,"Public Safety Expenditures"
2020,NA,26714,"Public Safety Expenditures"
2021,NA,26824,"Public Safety Expenditures"
2022,NA,28240,"Public Safety Expenditures"
2023,NA,27811,"Public Safety Expenditures"
2024,NA,28582,"Public Safety Expenditures"
2025,NA,27746,"Public Safety Expenditures"
2026,NA,28012,"Public Safety Expenditures"
2019,NA,18864,"Education Expenditures"
2020,NA,16378,"Education Expenditures"
2021,NA,18619,"Education Expenditures"
2022,NA,15455,"Education Expenditures"
2023,NA,16225,"Education Expenditures"
2024,NA,18534,"Education Expenditures"
2025,NA,16394,"Education Expenditures"
2026,NA,18178,"Education Expenditures"
2019,NA,10801,"Transportation/Infrastructure Expenditures"
2020,NA,12334,"Transportation/Infrastructure Expenditures"
2021,NA,10069,"Transportation/Infrastructure Expenditures"
2022,NA,12966,"Transportation/Infrastructure Expenditures"
2023,NA,10188,"Transportation/Infrastructure Expenditures"
2024,NA,13985,"Transportation/Infrastructure Expenditures"
2025,NA,14376,"Transportation/Infrastructure Expenditures"
2026,NA,14425,"Transportation/Infrastructure Expenditures"
2019,NA,12603,"Social Services Expenditures"
2020,NA,13545,"Social Services Expenditures"
2021,NA,13162,"Social Services Expenditures"
2022,NA,12715,"Social Services Expenditures"
2023,NA,14669,"Social Services Expenditures"
2024,NA,12867,"Social Services Expenditures"
2025,NA,13834,"Social Services Expenditures"
2026,NA,12809,"Social Services Expenditures"
2019,NA,4236,"Parks/Recreation Expenditures"
2020,NA,4542,"Parks/Recreation Expenditures"
2021,NA,4340,"Parks/Recreation Expenditures"
2022,NA,4394,"Parks/Recreation Expenditures"
2023,NA,3704,"Parks/Recreation Expenditures"
2024,NA,4190,"Parks/Recreation Expenditures"
2025,NA,4998,"Parks/Recreation Expenditures"
2026,NA,3515,"Parks/Recreation Expenditures"
2019,NA,6593,"Public Works Expenditures"
2020,NA,8770,"Public Works Expenditures"
2021,NA,7196,"Public Works Expenditures"
2022,NA,6695,"Public Works Expenditures"
2023,NA,7279,"Public Works Expenditures"
2024,NA,6738,"Public Works Expenditures"
2025,NA,7901,"Public Works Expenditures"
2026,NA,8617,"Public Works Expenditures"
2019,NA,6730,"Administration Expenditures"
2020,NA,8646,"Administration Expenditures"
2021,NA,6374,"Administration Expenditures"
2022,NA,7405,"Administration Expenditures"
2023,NA,8178,"Administration Expenditures"
2024,NA,6999,"Administration Expenditures"
2025,NA,7192,"Administration Expenditures"
2026,NA,6520,"Administration Expenditures"
2019,NA,4750,"Health Services Expenditures"
2020,NA,4600,"Health Services Expenditures"
2021,NA,5846,"Health Services Expenditures"
2022,NA,4262,"Health Services Expenditures"
2023,NA,6950,"Health Services Expenditures"
2024,NA,6569,"Health Services Expenditures"
2025,NA,6203,"Health Services Expenditures"
2026,NA,4053,"Health Services Expenditures"
2019,NA,1815,"Contingency Expenditures"
2020,NA,1721,"Contingency Expenditures"
2021,NA,1450,"Contingency Expenditures"
2022,NA,1398,"Contingency Expenditures"
2023,NA,1967,"Contingency Expenditures"
2024,NA,1248,"Contingency Expenditures"
2025,NA,1007,"Contingency Expenditures"
2026,NA,1787,"Contingency Expenditures"
