"Year","Revenue","Expenditure","Category"
2019,34308,NA,"Council Tax"
2020,33711,NA,"Council Tax"
2021,36104,NA,"Council Tax"
2022,36405,NA,"Council Tax"
2023,37510,NA,"Council Tax"
2024,30523,NA,"Council Tax"
2025,37352,NA,"Council Tax"
2026,32235,NA,"Council Tax"
2019,18519,NA,"Business rates"
2020,18082,NA,"Business rates"
2021,17274,NA,"Business rates"
2022,17880,NA,"Business rates"
2023,16775,NA,"Business rates"
2024,16688,NA,"Business rates"
2025,19681,NA,"Business rates"
2026,18013,NA,"Business rates"
2019,13808,NA,"Government grants"
2020,11510,NA,"Government grants"
2021,14625,NA,"Government grants"
2022,11075,NA,"Government grants"
2023,12274,NA,"Government grants"
2024,14070,NA,"Government grants"
2025,12934,NA,"Government grants"
2026,10504,NA,"Government grants"
2019,3850,NA,"Parking Fees/Fines"
2020,3209,NA,"Parking Fees/Fines"
2021,4377,NA,"Parking Fees/Fines"
2022,3912,NA,"Parking Fees/Fines"
2023,4613,NA,"Parking Fees/Fines"
2024,3155,NA,"Parking Fees/Fines"
2025,4648,NA,"Parking Fees/Fines"
2026,4157,NA,"Parking Fees/Fines"
2019,4716,NA,"Rental Income"
2020,4226,NA,"Rental Income"
2021,4862,NA,"Rental Income"
2022,4765,NA,"Rental Income"
2023,4479,NA,"Rental Income"
2024,4301,NA,"Rental Income"
2025,4043,NA,"Rental Income"
2026,4770,NA,"Rental Income"
2019,3726,NA,"Investment Income"
2020,3557,NA,"Investment Income"
2021,2072,NA,"Investment Income"
2022,2049,NA,"Investment Income"
2023,3250,NA,"Investment Income"
2024,2914,NA,"Investment Income"
2025,4000,NA,"Investment Income"
2026,2982,NA,"Investment Income"
2019,7862,NA,"License/Permit Fees"
2020,7778,NA,"License/Permit Fees"
2021,6479,NA,"License/Permit Fees"
2022,7977,NA,"License/Permit Fees"
2023,6392,NA,"License/Permit Fees"
2024,7974,NA,"License/Permit Fees"
2025,6238,NA,"License/Permit Fees"
2026,7026,NA,"License/Permit Fees"
2019,236,NA,"Other Income"
2020,246,NA,"Other Income"
2021,128,NA,"Other Income"
2022,154,NA,"Other Income"
2023,278,NA,"Other Income"
2024,213,NA,"Other Income"
2025,126,NA,"Other Income"
2026,125,NA,"Other Income"
2019,NA,28761,"Public Safety Expenditures"
2020,NA,26187,"Public Safety Expenditures"
2021,NA,28191,"Public Safety Expenditures"
2022,NA,29669,"Public Safety Expenditures"
2023,NA,27709,"Public Safety Expenditures"
2024,NA,29752,"Public Safety Expenditures"
2025,NA,29383,"Public Safety Expenditures"
2026,NA,29347,"Public Safety Expenditures"
2019,NA,19473,"Education Expenditures"
2020,NA,19937,"Education Expenditures"
2021,NA,16115,"Education Expenditures"
2022,NA,19647,"Education Expenditures"
2023,NA,15000,"Education Expenditures"
2024,NA,17498,"Education Expenditures"
2025,NA,18977,"Education Expenditures"
2026,NA,16885,"Education Expenditures"
2019,NA,13284,"Transportation/Infrastructure Expenditures"
2020,NA,11928,"Transportation/Infrastructure Expenditures"
2021,NA,10924,"Transportation/Infrastructure Expenditures"
2022,NA,10844,"Transportation/Infrastructure Expenditures"
2023,NA,11021,"Transportation/Infrastructure Expenditures"
2024,NA,11576,"Transportation/Infrastructure Expenditures"
2025,NA,12439,"Transportation/Infrastructure Expenditures"
2026,NA,13311,"Transportation/Infrastructure Expenditures"
2019,NA,14669,"Social Services Expenditures"
2020,NA,14664,"Social Services Expenditures"
2021,NA,14469,"Social Services Expenditures"
2022,NA,13571,"Social Services Expenditures"
2023,NA,14063,"Social Services Expenditures"
2024,NA,12319,"Social Services Expenditures"
2025,NA,13081,"Social Services Expenditures"
2026,NA,13644,"Social Services Expenditures"
2019,NA,4320,"Parks/Recreation Expenditures"
2020,NA,4662,"Parks/Recreation Expenditures"
2021,NA,3510,"Parks/Recreation Expenditures"
2022,NA,3698,"Parks/Recreation Expenditures"
2023,NA,3928,"Parks/Recreation Expenditures"
2024,NA,4177,"Parks/Recreation Expenditures"
2025,NA,4026,"Parks/Recreation Expenditures"
2026,NA,4595,"Parks/Recreation Expenditures"
2019,NA,8060,"Public Works Expenditures"
2020,NA,6595,"Public Works Expenditures"
2021,NA,6582,"Public Works Expenditures"
2022,NA,8038,"Public Works Expenditures"
2023,NA,7942,"Public Works Expenditures"
2024,NA,7407,"Public Works Expenditures"
2025,NA,8751,"Public Works Expenditures"
2026,NA,7988,"Public Works Expenditures"
2019,NA,6686,"Administration Expenditures"
2020,NA,8718,"Administration Expenditures"
2021,NA,8260,"Administration Expenditures"
2022,NA,6966,"Administration Expenditures"
2023,NA,8960,"Administration Expenditures"
2024,NA,8717,"Administration Expenditures"
2025,NA,8676,"Administration Expenditures"
2026,NA,6096,"Administration Expenditures"
2019,NA,4374,"Health Services Expenditures"
2020,NA,6764,"Health Services Expenditures"
2021,NA,5145,"Health Services Expenditures"
2022,NA,4794,"Health Services Expenditures"
2023,NA,6301,"Health Services Expenditures"
2024,NA,6230,"Health Services Expenditures"
2025,NA,6979,"Health Services Expenditures"
2026,NA,5055,"Health Services Expenditures"
2019,NA,1504,"Contingency Expenditures"
2020,NA,1478,"Contingency Expenditures"
2021,NA,1815,"Contingency Expenditures"
2022,NA,1449,"Contingency Expenditures"
2023,NA,1172,"Contingency Expenditures"
2024,NA,1976,"Contingency Expenditures"
2025,NA,1301,"Contingency Expenditures"
2026,NA,1370,"Contingency Expenditures"
