"Year","Revenue","Expenditure","Category"
2019,39793,NA,"Council Tax"
2020,39004,NA,"Council Tax"
2021,33394,NA,"Council Tax"
2022,35564,NA,"Council Tax"
2023,36350,NA,"Council Tax"
2024,37596,NA,"Council Tax"
2025,39400,NA,"Council Tax"
2026,38567,NA,"Council Tax"
2019,17820,NA,"Business rates"
2020,18350,NA,"Business rates"
2021,17147,NA,"Business rates"
2022,19952,NA,"Business rates"
2023,18437,NA,"Business rates"
2024,19980,NA,"Business rates"
2025,16936,NA,"Business rates"
2026,19618,NA,"Business rates"
2019,13917,NA,"Government grants"
2020,12783,NA,"Government grants"
2021,12909,NA,"Government grants"
2022,11293,NA,"Government grants"
2023,10035,NA,"Government grants"
2024,13183,NA,"Government grants"
2025,13046,NA,"Government grants"
2026,11098,NA,"Government grants"
2019,4289,NA,"Parking Fees/Fines"
2020,3157,NA,"Parking Fees/Fines"
2021,4072,NA,"Parking Fees/Fines"
2022,3998,NA,"Parking Fees/Fines"
2023,4667,NA,"Parking Fees/Fines"
2024,3898,NA,"Parking Fees/Fines"
2025,3793,NA,"Parking Fees/Fines"
2026,3470,NA,"Parking Fees/Fines"
2019,4103,NA,"Rental Income"
2020,4188,NA,"Rental Income"
2021,4372,NA,"Rental Income"
2022,4123,NA,"Rental Income"
2023,4484,NA,"Rental Income"
2024,4078,NA,"Rental Income"
2025,4775,NA,"Rental Income"
2026,4836,NA,"Rental Income"
2019,3930,NA,"Investment Income"
2020,2667,NA,"Investment Income"
2021,2517,NA,"Investment Income"
2022,3787,NA,"Investment Income"
2023,2493,NA,"Investment Income"
2024,3962,NA,"Investment Income"
2025,3191,NA,"Investment Income"
2026,3461,NA,"Investment Income"
2019,7814,NA,"License/Permit Fees"
2020,7108,NA,"License/Permit Fees"
2021,6640,NA,"License/Permit Fees"
2022,6325,NA,"License/Permit Fees"
2023,6774,NA,"License/Permit Fees"
2024,6057,NA,"License/Permit Fees"
2025,6471,NA,"License/Permit Fees"
2026,6613,NA,"License/Permit Fees"
2019,171,NA,"Other Income"
2020,283,NA,"Other Income"
2021,271,NA,"Other Income"
2022,222,NA,"Other Income"
2023,120,NA,"Other Income"
2024,289,NA,"Other Income"
2025,248,NA,"Other Income"
2026,143,NA,"Other Income"
2019,NA,27172,"Public Safety Expenditures"
2020,NA,27831,"Public Safety Expenditures"
2021,NA,27231,"Public Safety Expenditures"
2022,NA,29783,"Public Safety Expenditures"
2023,NA,26296,"Public Safety Expenditures"
2024,NA,29074,"Public Safety Expenditures"
2025,NA,29025,"Public Safety Expenditures"
2026,NA,25996,"Public Safety Expenditures"
2019,NA,17528,"Education Expenditures"
2020,NA,19236,"Education Expenditures"
2021,NA,15304,"Education Expenditures"
2022,NA,18805,"Education Expenditures"
2023,NA,19749,"Education Expenditures"
2024,NA,17031,"Education Expenditures"
2025,NA,18027,"Education Expenditures"
2026,NA,18040,"Education Expenditures"
2019,NA,14401,"Transportation/Infrastructure Expenditures"
2020,NA,12290,"Transportation/Infrastructure Expenditures"
2021,NA,10179,"Transportation/Infrastructure Expenditures"
2022,NA,14652,"Transportation/Infrastructure Expenditures"
2023,NA,13131,"Transportation/Infrastructure Expenditures"
2024,NA,10011,"Transportation/Infrastructure Expenditures"
2025,NA,12851,"Transportation/Infrastructure Expenditures"
2026,NA,13215,"Transportation/Infrastructure Expenditures"
2019,NA,13202,"Social Services Expenditures"
2020,NA,13693,"Social Services Expenditures"
2021,NA,12891,"Social Services Expenditures"
2022,NA,13835,"Social Services Expenditures"
2023,NA,14768,"Social Services Expenditures"
2024,NA,12036,"Social Services Expenditures"
2025,NA,14819,"Social Services Expenditures"
2026,NA,12495,"Social Services Expenditures"
2019,NA,4534,"Parks/Recreation Expenditures"
2020,NA,3424,"Parks/Recreation Expenditures"
2021,NA,4912,"Parks/Recreation Expenditures"
2022,NA,4281,"Parks/Recreation Expenditures"
2023,NA,4474,"Parks/Recreation Expenditures"
2024,NA,3833,"Parks/Recreation Expenditures"
2025,NA,4895,"Parks/Recreation Expenditures"
2026,NA,4371,"Parks/Recreation Expenditures"
2019,NA,7625,"Public Works Expenditures"
2020,NA,6027,"Public Works Expenditures"
2021,NA,7970,"Public Works Expenditures"
2022,NA,6604,"Public Works Expenditures"
2023,NA,7468,"Public Works Expenditures"
2024,NA,7657,"Public Works Expenditures"
2025,NA,7344,"Public Works Expenditures"
2026,NA,7639,"Public Works Expenditures"
2019,NA,7663,"Administration Expenditures"
2020,NA,6976,"Administration Expenditures"
2021,NA,6444,"Administration Expenditures"
2022,NA,7046,"Administration Expenditures"
2023,NA,8023,"Administration Expenditures"
2024,NA,8640,"Administration Expenditures"
2025,NA,6630,"Administration Expenditures"
2026,NA,6844,"Administration Expenditures"
2019,NA,6792,"Health Services Expenditures"
2020,NA,4598,"Health Services Expenditures"
2021,NA,4579,"Health Services Expenditures"
2022,NA,4373,"Health Services Expenditures"
2023,NA,6799,"Health Services Expenditures"
2024,NA,4920,"Health Services Expenditures"
2025,NA,4058,"Health Services Expenditures"
2026,NA,4499,"Health Services Expenditures"
2019,NA,1631,"Contingency Expenditures"
2020,NA,1685,"Contingency Expenditures"
2021,NA,1325,"Contingency Expenditures"
2022,NA,1917,"Contingency Expenditures"
2023,NA,1061,"Contingency Expenditures"
2024,NA,1028,"Contingency Expenditures"
2025,NA,1662,"Contingency Expenditures"
2026,NA,1185,"Contingency Expenditures"
