"Year","Revenue","Expenditure","Category"
2019,38687,NA,"Council Tax"
2020,35476,NA,"Council Tax"
2021,36441,NA,"Council Tax"
2022,31796,NA,"Council Tax"
2023,37436,NA,"Council Tax"
2024,33398,NA,"Council Tax"
2025,33850,NA,"Council Tax"
2026,31777,NA,"Council Tax"
2019,19095,NA,"Business rates"
2020,18196,NA,"Business rates"
2021,16040,NA,"Business rates"
2022,15405,NA,"Business rates"
2023,18500,NA,"Business rates"
2024,19111,NA,"Business rates"
2025,19418,NA,"Business rates"
2026,16579,NA,"Business rates"
2019,11687,NA,"Government grants"
2020,10764,NA,"Government grants"
2021,10180,NA,"Government grants"
2022,11607,NA,"Government grants"
2023,13593,NA,"Government grants"
2024,11092,NA,"Government grants"
2025,14408,NA,"Government grants"
2026,11154,NA,"Government grants"
2019,3968,NA,"Parking Fees/Fines"
2020,4531,NA,"Parking Fees/Fines"
2021,4190,NA,"Parking Fees/Fines"
2022,3609,NA,"Parking Fees/Fines"
2023,4177,NA,"Parking Fees/Fines"
2024,4737,NA,"Parking Fees/Fines"
2025,4679,NA,"Parking Fees/Fines"
2026,4143,NA,"Parking Fees/Fines"
2019,4099,NA,"Rental Income"
2020,4533,NA,"Rental Income"
2021,4267,NA,"Rental Income"
2022,4642,NA,"Rental Income"
2023,4521,NA,"Rental Income"
2024,4019,NA,"Rental Income"
2025,4636,NA,"Rental Income"
2026,4261,NA,"Rental Income"
2019,2887,NA,"Investment Income"
2020,2637,NA,"Investment Income"
2021,2495,NA,"Investment Income"
2022,2890,NA,"Investment Income"
2023,3395,NA,"Investment Income"
2024,2188,NA,"Investment Income"
2025,3516,NA,"Investment Income"
2026,2994,NA,"Investment Income"
2019,7412,NA,"License/Permit Fees"
2020,7433,NA,"License/Permit Fees"
2021,6338,NA,"License/Permit Fees"
2022,6832,NA,"License/Permit Fees"
2023,6906,NA,"License/Permit Fees"
2024,7676,NA,"License/Permit Fees"
2025,6038,NA,"License/Permit Fees"
2026,7493,NA,"License/Permit Fees"
2019,271,NA,"Other Income"
2020,108,NA,"Other Income"
2021,239,NA,"Other Income"
2022,238,NA,"Other Income"
2023,296,NA,"Other Income"
2024,279,NA,"Other Income"
2025,110,NA,"Other Income"
2026,263,NA,"Other Income"
2019,NA,26557,"Public Safety Expenditures"
2020,NA,25112,"Public Safety Expenditures"
2021,NA,28065,"Public Safety Expenditures"
2022,NA,25855,"Public Safety Expenditures"
2023,NA,26968,"Public Safety Expenditures"
2024,NA,28298,"Public Safety Expenditures"
2025,NA,29815,"Public Safety Expenditures"
2026,NA,26143,"Public Safety Expenditures"
2019,NA,15385,"Education Expenditures"
2020,NA,16861,"Education Expenditures"
2021,NA,17763,"Education Expenditures"
2022,NA,19289,"Education Expenditures"
2023,NA,18964,"Education Expenditures"
2024,NA,15009,"Education Expenditures"
2025,NA,15760,"Education Expenditures"
2026,NA,17532,"Education Expenditures"
2019,NA,11132,"Transportation/Infrastructure Expenditures"
2020,NA,10477,"Transportation/Infrastructure Expenditures"
2021,NA,14317,"Transportation/Infrastructure Expenditures"
2022,NA,12740,"Transportation/Infrastructure Expenditures"
2023,NA,13466,"Transportation/Infrastructure Expenditures"
2024,NA,13827,"Transportation/Infrastructure Expenditures"
2025,NA,14742,"Transportation/Infrastructure Expenditures"
2026,NA,12195,"Transportation/Infrastructure Expenditures"
2019,NA,13407,"Social Services Expenditures"
2020,NA,12040,"Social Services Expenditures"
2021,NA,14081,"Social Services Expenditures"
2022,NA,14003,"Social Services Expenditures"
2023,NA,12039,"Social Services Expenditures"
2024,NA,12094,"Social Services Expenditures"
2025,NA,12417,"Social Services Expenditures"
2026,NA,12516,"Social Services Expenditures"
2019,NA,4544,"Parks/Recreation Expenditures"
2020,NA,4390,"Parks/Recreation Expenditures"
2021,NA,3754,"Parks/Recreation Expenditures"
2022,NA,3989,"Parks/Recreation Expenditures"
2023,NA,3289,"Parks/Recreation Expenditures"
2024,NA,4789,"Parks/Recreation Expenditures"
2025,NA,4469,"Parks/Recreation Expenditures"
2026,NA,4601,"Parks/Recreation Expenditures"
2019,NA,7751,"Public Works Expenditures"
2020,NA,6374,"Public Works Expenditures"
2021,NA,6065,"Public Works Expenditures"
2022,NA,6436,"Public Works Expenditures"
2023,NA,8986,"Public Works Expenditures"
2024,NA,8361,"Public Works Expenditures"
2025,NA,6566,"Public Works Expenditures"
2026,NA,6562,"Public Works Expenditures"
2019,NA,6948,"Administration Expenditures"
2020,NA,8683,"Administration Expenditures"
2021,NA,8300,"Administration Expenditures"
2022,NA,7602,"Administration Expenditures"
2023,NA,7914,"Administration Expenditures"
2024,NA,7998,"Administration Expenditures"
2025,NA,6811,"Administration Expenditures"
2026,NA,6234,"Administration Expenditures"
2019,NA,4644,"Health Services Expenditures"
2020,NA,6266,"Health Services Expenditures"
2021,NA,4405,"Health Services Expenditures"
2022,NA,5854,"Health Services Expenditures"
2023,NA,4027,"Health Services Expenditures"
2024,NA,5577,"Health Services Expenditures"
2025,NA,6156,"Health Services Expenditures"
2026,NA,5956,"Health Services Expenditures"
2019,NA,1946,"Contingency Expenditures"
2020,NA,1627,"Contingency Expenditures"
2021,NA,1646,"Contingency Expenditures"
2022,NA,1714,"Contingency Expenditures"
2023,NA,1654,"Contingency Expenditures"
2024,NA,1361,"Contingency Expenditures"
2025,NA,1833,"Contingency Expenditures"
2026,NA,1586,"Contingency Expenditures"
