"Year","Category","Count"
2020,"Age: 0-14",14400
2020,"Age: 15-24",38152
2020,"Age: 25-44",54350
2020,"Age: 45-64",45585
2020,"Age: 65-74",17941
2020,"Age: 75+",9417
2020,"Gender: Male",86211
2020,"Gender: Female",90062
2020,"Gender: Other",3572
2020,"Employment: Employed",125629
2020,"Employment: Unemployed",15281
2020,"Employment: Self-Employed",38935
2021,"Age: 0-14",14255
2021,"Age: 15-24",39693
2021,"Age: 25-44",53303
2021,"Age: 45-64",46832
2021,"Age: 65-74",17911
2021,"Age: 75+",9344
2021,"Gender: Male",86967
2021,"Gender: Female",90700
2021,"Gender: Other",3671
2021,"Employment: Employed",126013
2021,"Employment: Unemployed",16477
2021,"Employment: Self-Employed",38848
2022,"Age: 0-14",15284
2022,"Age: 15-24",42481
2022,"Age: 25-44",52841
2022,"Age: 45-64",46685
2022,"Age: 65-74",19184
2022,"Age: 75+",9280
2022,"Gender: Male",88710
2022,"Gender: Female",93404
2022,"Gender: Other",3641
2022,"Employment: Employed",128191
2022,"Employment: Unemployed",16248
2022,"Employment: Self-Employed",41316
2023,"Age: 0-14",15527
2023,"Age: 15-24",42119
2023,"Age: 25-44",55134
2023,"Age: 45-64",48541
2023,"Age: 65-74",18744
2023,"Age: 75+",9665
2023,"Gender: Male",93523
2023,"Gender: Female",92227
2023,"Gender: Other",3980
2023,"Employment: Employed",129419
2023,"Employment: Unemployed",16617
2023,"Employment: Self-Employed",43694
2024,"Age: 0-14",14926
2024,"Age: 15-24",41861
2024,"Age: 25-44",58485
2024,"Age: 45-64",48187
2024,"Age: 65-74",19007
2024,"Age: 75+",9537
2024,"Gender: Male",93274
2024,"Gender: Female",94847
2024,"Gender: Other",3882
2024,"Employment: Employed",130279
2024,"Employment: Unemployed",17146
2024,"Employment: Self-Employed",44578
