"Year","Category","Count"
2020,"Age: 0-14",15888
2020,"Age: 15-24",41576
2020,"Age: 25-44",54802
2020,"Age: 45-64",50210
2020,"Age: 65-74",18414
2020,"Age: 75+",9714
2020,"Gender: Male",87815
2020,"Gender: Female",99116
2020,"Gender: Other",3673
2020,"Employment: Employed",130650
2020,"Employment: Unemployed",16633
2020,"Employment: Self-Employed",43321
2021,"Age: 0-14",15609
2021,"Age: 15-24",41265
2021,"Age: 25-44",58072
2021,"Age: 45-64",47235
2021,"Age: 65-74",20129
2021,"Age: 75+",9560
2021,"Gender: Male",93708
2021,"Gender: Female",94243
2021,"Gender: Other",3919
2021,"Employment: Employed",132965
2021,"Employment: Unemployed",17624
2021,"Employment: Self-Employed",41281
2022,"Age: 0-14",15551
2022,"Age: 15-24",41703
2022,"Age: 25-44",57062
2022,"Age: 45-64",49716
2022,"Age: 65-74",19000
2022,"Age: 75+",9897
2022,"Gender: Male",91273
2022,"Gender: Female",97883
2022,"Gender: Other",3773
2022,"Employment: Employed",135612
2022,"Employment: Unemployed",16716
2022,"Employment: Self-Employed",40601
2023,"Age: 0-14",15961
2023,"Age: 15-24",42886
2023,"Age: 25-44",60500
2023,"Age: 45-64",48452
2023,"Age: 65-74",18998
2023,"Age: 75+",9204
2023,"Gender: Male",91816
2023,"Gender: Female",100377
2023,"Gender: Other",3808
2023,"Employment: Employed",136125
2023,"Employment: Unemployed",16606
2023,"Employment: Self-Employed",43270
2024,"Age: 0-14",15217
2024,"Age: 15-24",42805
2024,"Age: 25-44",60205
2024,"Age: 45-64",49674
2024,"Age: 65-74",19069
2024,"Age: 75+",10142
2024,"Gender: Male",92446
2024,"Gender: Female",100817
2024,"Gender: Other",3849
2024,"Employment: Employed",137622
2024,"Employment: Unemployed",17068
2024,"Employment: Self-Employed",42422
