"Year","Category","Count"
2020,"Age: 0-14",12569
2020,"Age: 15-24",34125
2020,"Age: 25-44",45308
2020,"Age: 45-64",36904
2020,"Age: 65-74",14588
2020,"Age: 75+",7722
2020,"Gender: Male",70919
2020,"Gender: Female",77221
2020,"Gender: Other",3076
2020,"Employment: Employed",104357
2020,"Employment: Unemployed",13139
2020,"Employment: Self-Employed",33720
2021,"Age: 0-14",12160
2021,"Age: 15-24",34418
2021,"Age: 25-44",45960
2021,"Age: 45-64",38800
2021,"Age: 65-74",15577
2021,"Age: 75+",7490
2021,"Gender: Male",73612
2021,"Gender: Female",77591
2021,"Gender: Other",3202
2021,"Employment: Employed",106855
2021,"Employment: Unemployed",13756
2021,"Employment: Self-Employed",33794
2022,"Age: 0-14",12480
2022,"Age: 15-24",34235
2022,"Age: 25-44",46718
2022,"Age: 45-64",39643
2022,"Age: 65-74",15659
2022,"Age: 75+",8512
2022,"Gender: Male",76284
2022,"Gender: Female",77783
2022,"Gender: Other",3180
2022,"Employment: Employed",108758
2022,"Employment: Unemployed",14146
2022,"Employment: Self-Employed",34343
2023,"Age: 0-14",12795
2023,"Age: 15-24",34803
2023,"Age: 25-44",48772
2023,"Age: 45-64",39641
2023,"Age: 65-74",16619
2023,"Age: 75+",8303
2023,"Gender: Male",75252
2023,"Gender: Female",82328
2023,"Gender: Other",3353
2023,"Employment: Employed",111150
2023,"Employment: Unemployed",13805
2023,"Employment: Self-Employed",35978
2024,"Age: 0-14",13058
2024,"Age: 15-24",34991
2024,"Age: 25-44",51331
2024,"Age: 45-64",41630
2024,"Age: 65-74",16281
2024,"Age: 75+",8176
2024,"Gender: Male",80201
2024,"Gender: Female",82017
2024,"Gender: Other",3249
2024,"Employment: Employed",112650
2024,"Employment: Unemployed",14754
2024,"Employment: Self-Employed",38063
