"Year","Category","Count"
2020,"Age: 0-14",15859
2020,"Age: 15-24",44169
2020,"Age: 25-44",57595
2020,"Age: 45-64",47917
2020,"Age: 65-74",18936
2020,"Age: 75+",9296
2020,"Gender: Male",94196
2020,"Gender: Female",95824
2020,"Gender: Other",3752
2020,"Employment: Employed",133757
2020,"Employment: Unemployed",18514
2020,"Employment: Self-Employed",41501
2021,"Age: 0-14",15163
2021,"Age: 15-24",44586
2021,"Age: 25-44",57295
2021,"Age: 45-64",49332
2021,"Age: 65-74",18738
2021,"Age: 75+",9752
2021,"Gender: Male",90730
2021,"Gender: Female",100457
2021,"Gender: Other",3679
2021,"Employment: Employed",134303
2021,"Employment: Unemployed",17906
2021,"Employment: Self-Employed",42657
2022,"Age: 0-14",16784
2022,"Age: 15-24",42330
2022,"Age: 25-44",61962
2022,"Age: 45-64",48243
2022,"Age: 65-74",20031
2022,"Age: 75+",10043
2022,"Gender: Male",98680
2022,"Gender: Female",96826
2022,"Gender: Other",3887
2022,"Employment: Employed",137439
2022,"Employment: Unemployed",17834
2022,"Employment: Self-Employed",44120
2023,"Age: 0-14",16379
2023,"Age: 15-24",43930
2023,"Age: 25-44",60617
2023,"Age: 45-64",50553
2023,"Age: 65-74",19258
2023,"Age: 75+",10201
2023,"Gender: Male",93613
2023,"Gender: Female",103159
2023,"Gender: Other",4166
2023,"Employment: Employed",140003
2023,"Employment: Unemployed",17788
2023,"Employment: Self-Employed",43147
2024,"Age: 0-14",16378
2024,"Age: 15-24",44100
2024,"Age: 25-44",61735
2024,"Age: 45-64",50798
2024,"Age: 65-74",20101
2024,"Age: 75+",9650
2024,"Gender: Male",97961
2024,"Gender: Female",100871
2024,"Gender: Other",3930
2024,"Employment: Employed",140447
2024,"Employment: Unemployed",18129
2024,"Employment: Self-Employed",44186
