"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",10
"Q01","Agree",20
"Q01","Strongly Agree",59
"Q02","Strongly Disagree",10
"Q02","Disagree",19
"Q02","Neutral",29
"Q02","Agree",24
"Q02","Strongly Agree",14
"Q03","Strongly Disagree",1.4
"Q03","Disagree",13.3
"Q03","Neutral",40.1
"Q03","Agree",45.2
"Q03","Strongly Agree",0
"Q04","Strongly Disagree",3.6
"Q04","Disagree",4.8
"Q04","Neutral",46.2
"Q04","Agree",45.4
"Q04","Strongly Agree",0
"Q05","Strongly Disagree",24.6
"Q05","Disagree",5.9
"Q05","Neutral",34.5
"Q05","Agree",34.9
"Q05","Strongly Agree",0
"Q06","Strongly Disagree",55
"Q06","Disagree",18
"Q06","Neutral",9
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",17.7
"Q07","Disagree",22.2
"Q07","Neutral",22.5
"Q07","Agree",37.6
"Q07","Strongly Agree",0
"Q08","Strongly Disagree",57
"Q08","Disagree",19
"Q08","Neutral",10
"Q08","Agree",5
"Q08","Strongly Agree",5
"Q09","Strongly Disagree",60
"Q09","Disagree",20
"Q09","Neutral",10
"Q09","Agree",5
"Q09","Strongly Agree",5
"Q10","Strongly Disagree",5
"Q10","Disagree",5
"Q10","Neutral",9
"Q10","Agree",18
"Q10","Strongly Agree",54
"Q11","Strongly Disagree",5
"Q11","Disagree",5
"Q11","Neutral",9
"Q11","Agree",19
"Q11","Strongly Agree",57
"Q12","Strongly Disagree",10
"Q12","Disagree",20
"Q12","Neutral",30
"Q12","Agree",25
"Q12","Strongly Agree",15
"Q13","Strongly Disagree",57
"Q13","Disagree",19
"Q13","Neutral",9
"Q13","Agree",5
"Q13","Strongly Agree",5
"Q14","Strongly Disagree",60
"Q14","Disagree",20
"Q14","Neutral",10
"Q14","Agree",5
"Q14","Strongly Agree",5
"Q15","Strongly Disagree",10
"Q15","Disagree",19
"Q15","Neutral",29
"Q15","Agree",24
"Q15","Strongly Agree",14
"Q16","Strongly Disagree",63
"Q16","Disagree",21
"Q16","Neutral",10
"Q16","Agree",5
"Q16","Strongly Agree",5
"Q17","Strongly Disagree",11
"Q17","Disagree",22
"Q17","Neutral",32
"Q17","Agree",27
"Q17","Strongly Agree",16
"Q18","Strongly Disagree",9
"Q18","Disagree",19
"Q18","Neutral",28
"Q18","Agree",24
"Q18","Strongly Agree",14
"Q19","Strongly Disagree",59
"Q19","Disagree",20
"Q19","Neutral",10
"Q19","Agree",5
"Q19","Strongly Agree",5
"Q20","Strongly Disagree",39.4
"Q20","Disagree",19.9
"Q20","Neutral",0.6
"Q20","Agree",40.2
"Q20","Strongly Agree",0
"Q21","Strongly Disagree",5
"Q21","Disagree",5
"Q21","Neutral",9
"Q21","Agree",18
"Q21","Strongly Agree",54
"Q22","Strongly Disagree",59
"Q22","Disagree",20
"Q22","Neutral",10
"Q22","Agree",5
"Q22","Strongly Agree",5
"Q23","Strongly Disagree",9
"Q23","Disagree",19
"Q23","Neutral",28
"Q23","Agree",23
"Q23","Strongly Agree",14
"Q24","Strongly Disagree",11
"Q24","Disagree",21
"Q24","Neutral",32
"Q24","Agree",26
"Q24","Strongly Agree",16
"Q25","Strongly Disagree",63
"Q25","Disagree",21
"Q25","Neutral",10
"Q25","Agree",5
"Q25","Strongly Agree",5
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",9
"Q26","Agree",18
"Q26","Strongly Agree",54
"Q27","Strongly Disagree",60
"Q27","Disagree",20
"Q27","Neutral",10
"Q27","Agree",5
"Q27","Strongly Agree",5
"Q28","Strongly Disagree",5
"Q28","Disagree",5
"Q28","Neutral",11
"Q28","Agree",22
"Q28","Strongly Agree",66
"Q29","Strongly Disagree",10
"Q29","Disagree",20
"Q29","Neutral",30
"Q29","Agree",25
"Q29","Strongly Agree",15
"Q30","Strongly Disagree",36.5
"Q30","Disagree",29.7
"Q30","Neutral",24.7
"Q30","Agree",9.1
"Q30","Strongly Agree",0
