"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",10
"Q01","Agree",21
"Q01","Strongly Agree",62
"Q02","Strongly Disagree",19.6
"Q02","Disagree",66.3
"Q02","Neutral",1.6
"Q02","Agree",12.4
"Q02","Strongly Agree",0
"Q03","Strongly Disagree",64
"Q03","Disagree",21
"Q03","Neutral",11
"Q03","Agree",5
"Q03","Strongly Agree",5
"Q04","Strongly Disagree",10
"Q04","Disagree",19
"Q04","Neutral",29
"Q04","Agree",24
"Q04","Strongly Agree",14
"Q05","Strongly Disagree",9
"Q05","Disagree",18
"Q05","Neutral",27
"Q05","Agree",23
"Q05","Strongly Agree",14
"Q06","Strongly Disagree",5
"Q06","Disagree",5
"Q06","Neutral",11
"Q06","Agree",22
"Q06","Strongly Agree",65
"Q07","Strongly Disagree",5
"Q07","Disagree",5
"Q07","Neutral",9
"Q07","Agree",18
"Q07","Strongly Agree",54
"Q08","Strongly Disagree",35.3
"Q08","Disagree",21.1
"Q08","Neutral",41.2
"Q08","Agree",2.4
"Q08","Strongly Agree",0
"Q09","Strongly Disagree",16.3
"Q09","Disagree",19.3
"Q09","Neutral",51.8
"Q09","Agree",12.6
"Q09","Strongly Agree",0
"Q10","Strongly Disagree",32.6
"Q10","Disagree",19.8
"Q10","Neutral",25.9
"Q10","Agree",21.7
"Q10","Strongly Agree",0
"Q11","Strongly Disagree",54
"Q11","Disagree",18
"Q11","Neutral",9
"Q11","Agree",5
"Q11","Strongly Agree",5
"Q12","Strongly Disagree",76.5
"Q12","Disagree",13.6
"Q12","Neutral",7.1
"Q12","Agree",2.7
"Q12","Strongly Agree",0
"Q13","Strongly Disagree",5
"Q13","Disagree",5
"Q13","Neutral",11
"Q13","Agree",21
"Q13","Strongly Agree",64
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",10
"Q14","Agree",20
"Q14","Strongly Agree",59
"Q15","Strongly Disagree",5
"Q15","Disagree",5
"Q15","Neutral",10
"Q15","Agree",19
"Q15","Strongly Agree",58
"Q16","Strongly Disagree",65
"Q16","Disagree",22
"Q16","Neutral",11
"Q16","Agree",5
"Q16","Strongly Agree",5
"Q17","Strongly Disagree",63
"Q17","Disagree",21
"Q17","Neutral",10
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",65
"Q18","Disagree",22
"Q18","Neutral",11
"Q18","Agree",5
"Q18","Strongly Agree",5
"Q19","Strongly Disagree",11
"Q19","Disagree",22
"Q19","Neutral",33
"Q19","Agree",27
"Q19","Strongly Agree",16
"Q20","Strongly Disagree",18.9
"Q20","Disagree",7.2
"Q20","Neutral",34.7
"Q20","Agree",39.1
"Q20","Strongly Agree",0
"Q21","Strongly Disagree",7.4
"Q21","Disagree",31.2
"Q21","Neutral",23.7
"Q21","Agree",37.7
"Q21","Strongly Agree",0
"Q22","Strongly Disagree",10
"Q22","Disagree",21
"Q22","Neutral",31
"Q22","Agree",26
"Q22","Strongly Agree",16
"Q23","Strongly Disagree",5
"Q23","Disagree",5
"Q23","Neutral",10
"Q23","Agree",21
"Q23","Strongly Agree",62
"Q24","Strongly Disagree",65
"Q24","Disagree",22
"Q24","Neutral",11
"Q24","Agree",5
"Q24","Strongly Agree",5
"Q25","Strongly Disagree",27.9
"Q25","Disagree",26.6
"Q25","Neutral",13.6
"Q25","Agree",31.9
"Q25","Strongly Agree",0
"Q26","Strongly Disagree",5
"Q26","Disagree",5
"Q26","Neutral",10
"Q26","Agree",20
"Q26","Strongly Agree",60
"Q27","Strongly Disagree",9
"Q27","Disagree",18
"Q27","Neutral",27
"Q27","Agree",23
"Q27","Strongly Agree",14
"Q28","Strongly Disagree",9
"Q28","Disagree",19
"Q28","Neutral",28
"Q28","Agree",24
"Q28","Strongly Agree",14
"Q29","Strongly Disagree",62
"Q29","Disagree",21
"Q29","Neutral",10
"Q29","Agree",5
"Q29","Strongly Agree",5
"Q30","Strongly Disagree",5
"Q30","Disagree",5
"Q30","Neutral",11
"Q30","Agree",22
"Q30","Strongly Agree",66
