"Question","likert_categories","polling_data"
"Q01","Strongly Disagree",5
"Q01","Disagree",5
"Q01","Neutral",10
"Q01","Agree",19
"Q01","Strongly Agree",58
"Q02","Strongly Disagree",61
"Q02","Disagree",20
"Q02","Neutral",10
"Q02","Agree",5
"Q02","Strongly Agree",5
"Q03","Strongly Disagree",31.8
"Q03","Disagree",13.6
"Q03","Neutral",25.3
"Q03","Agree",29.2
"Q03","Strongly Agree",0
"Q04","Strongly Disagree",8.4
"Q04","Disagree",2.9
"Q04","Neutral",63.6
"Q04","Agree",25.1
"Q04","Strongly Agree",0
"Q05","Strongly Disagree",60
"Q05","Disagree",20
"Q05","Neutral",10
"Q05","Agree",5
"Q05","Strongly Agree",5
"Q06","Strongly Disagree",63
"Q06","Disagree",21
"Q06","Neutral",10
"Q06","Agree",5
"Q06","Strongly Agree",5
"Q07","Strongly Disagree",55
"Q07","Disagree",18
"Q07","Neutral",9
"Q07","Agree",5
"Q07","Strongly Agree",5
"Q08","Strongly Disagree",63
"Q08","Disagree",21
"Q08","Neutral",11
"Q08","Agree",5
"Q08","Strongly Agree",5
"Q09","Strongly Disagree",10
"Q09","Disagree",20
"Q09","Neutral",31
"Q09","Agree",26
"Q09","Strongly Agree",15
"Q10","Strongly Disagree",5
"Q10","Disagree",5
"Q10","Neutral",10
"Q10","Agree",20
"Q10","Strongly Agree",61
"Q11","Strongly Disagree",29.8
"Q11","Disagree",34.9
"Q11","Neutral",19.5
"Q11","Agree",15.9
"Q11","Strongly Agree",0
"Q12","Strongly Disagree",10
"Q12","Disagree",20
"Q12","Neutral",30
"Q12","Agree",25
"Q12","Strongly Agree",15
"Q13","Strongly Disagree",33.4
"Q13","Disagree",17.3
"Q13","Neutral",15.9
"Q13","Agree",33.4
"Q13","Strongly Agree",0
"Q14","Strongly Disagree",5
"Q14","Disagree",5
"Q14","Neutral",10
"Q14","Agree",20
"Q14","Strongly Agree",61
"Q15","Strongly Disagree",63
"Q15","Disagree",21
"Q15","Neutral",10
"Q15","Agree",5
"Q15","Strongly Agree",5
"Q16","Strongly Disagree",16.3
"Q16","Disagree",11.8
"Q16","Neutral",55.8
"Q16","Agree",16
"Q16","Strongly Agree",0
"Q17","Strongly Disagree",54
"Q17","Disagree",18
"Q17","Neutral",9
"Q17","Agree",5
"Q17","Strongly Agree",5
"Q18","Strongly Disagree",5
"Q18","Disagree",5
"Q18","Neutral",10
"Q18","Agree",20
"Q18","Strongly Agree",59
"Q19","Strongly Disagree",5
"Q19","Disagree",5
"Q19","Neutral",11
"Q19","Agree",22
"Q19","Strongly Agree",65
"Q20","Strongly Disagree",63
"Q20","Disagree",21
"Q20","Neutral",10
"Q20","Agree",5
"Q20","Strongly Agree",5
"Q21","Strongly Disagree",5
"Q21","Disagree",5
"Q21","Neutral",9
"Q21","Agree",19
"Q21","Strongly Agree",56
"Q22","Strongly Disagree",13.6
"Q22","Disagree",28.1
"Q22","Neutral",31.5
"Q22","Agree",26.8
"Q22","Strongly Agree",0
"Q23","Strongly Disagree",9
"Q23","Disagree",18
"Q23","Neutral",27
"Q23","Agree",23
"Q23","Strongly Agree",14
"Q24","Strongly Disagree",5
"Q24","Disagree",5
"Q24","Neutral",10
"Q24","Agree",21
"Q24","Strongly Agree",62
"Q25","Strongly Disagree",0.9
"Q25","Disagree",8.4
"Q25","Neutral",42.3
"Q25","Agree",48.4
"Q25","Strongly Agree",0
"Q26","Strongly Disagree",57
"Q26","Disagree",19
"Q26","Neutral",10
"Q26","Agree",5
"Q26","Strongly Agree",5
"Q27","Strongly Disagree",11
"Q27","Disagree",22
"Q27","Neutral",33
"Q27","Agree",27
"Q27","Strongly Agree",16
"Q28","Strongly Disagree",10
"Q28","Disagree",21
"Q28","Neutral",31
"Q28","Agree",26
"Q28","Strongly Agree",16
"Q29","Strongly Disagree",5
"Q29","Disagree",5
"Q29","Neutral",10
"Q29","Agree",20
"Q29","Strongly Agree",61
"Q30","Strongly Disagree",5
"Q30","Disagree",5
"Q30","Neutral",11
"Q30","Agree",22
"Q30","Strongly Agree",65
